candidate_id,replicate_index,seed,compartment,loss_step,biological_time,population_1_interval_before_loss,divisions_before_loss,deaths_before_loss,displacement_removal_events_before_loss,tumor_count_at_loss,EC_count_at_loss,fibroblast_count_at_loss,macrophage_count_at_loss,divProbP,pOffMax
4,1,-6487287034856441255,"EC",1134,16.5375000000,1,33,269,0,676,0,571,937,0.0123410586386,0.172619321113
4,4,7487756817630153809,"EC",948,13.8250000000,1,7,243,0,313,0,702,834,0.0123410586386,0.172619321113
4,9,2797245421472657168,"EC",1222,17.8208333333,1,47,283,0,477,0,1273,1024,0.0123410586386,0.172619321113
9,1,-6487287034856441255,"EC",1425,20.7812500000,1,15,251,0,359,0,1190,995,0.00989753347439,0.116732334470
9,2,-5685907065752687180,"EC",1010,14.7291666667,1,18,254,0,160,0,709,890,0.00989753347439,0.116732334470
9,5,-2309251230968898195,"EC",1329,19.3812500000,1,24,260,0,510,0,876,671,0.00989753347439,0.116732334470
9,6,-6138896303863890613,"EC",1290,18.8125000000,1,21,257,0,152,0,2116,910,0.00989753347439,0.116732334470
9,7,-3084566433027122089,"EC",1218,17.7625000000,1,25,261,0,221,0,1846,925,0.00989753347439,0.116732334470
9,8,4905766887455923757,"EC",1281,18.6812500000,1,33,269,0,399,0,1426,1156,0.00989753347439,0.116732334470
15,4,7487756817630153809,"EC",1126,16.4208333333,1,32,268,0,516,0,437,1147,0.00761000096275,0.0213940190805
16,0,5589448652870235333,"EC",1243,18.1270833333,1,39,275,0,354,0,1600,1082,0.0112198651510,0.158809491956
16,8,4905766887455923757,"EC",1099,16.0270833333,1,36,272,0,452,0,751,1149,0.0112198651510,0.158809491956
19,1,-6487287034856441255,"EC",1069,15.5895833333,1,36,272,0,464,0,1138,817,0.0139029107283,0.196208841879
19,2,-5685907065752687180,"EC",1013,14.7729166667,1,49,285,0,470,0,868,1059,0.0139029107283,0.196208841879
19,3,1113882577431830254,"EC",1395,20.3437500000,1,30,266,0,830,0,1542,758,0.0139029107283,0.196208841879
19,5,-2309251230968898195,"EC",1340,19.5416666667,1,58,294,0,566,0,1666,919,0.0139029107283,0.196208841879
25,1,-6487287034856441255,"EC",1224,17.8500000000,1,56,292,0,594,0,1410,1035,0.0116064464444,0.122271650703
25,4,7487756817630153809,"EC",1169,17.0479166667,1,47,283,0,529,0,1042,981,0.0116064464444,0.122271650703
25,5,-2309251230968898195,"EC",1009,14.7145833333,1,10,246,0,347,0,454,1177,0.0116064464444,0.122271650703
25,6,-6138896303863890613,"EC",1338,19.5125000000,1,40,276,0,351,0,1696,828,0.0116064464444,0.122271650703
25,8,4905766887455923757,"EC",1402,20.4458333333,1,74,310,0,693,0,1303,1012,0.0116064464444,0.122271650703
