target_id,statistic_type,step,simulated,target,weight,scale,standardized_residual,distance_contribution,share_of_d2,valid,invalid_reason
"abc_target_01_jnkp_s480","jnkp",480,0.590000000000,0.530000000000,1,0.200000000000,0.300000000000,0.0900000000000,0.0333834530723,true,""
"abc_target_02_jnkp_s1440","jnkp",1440,0.341801385681,0.140000000000,1,0.200000000000,1.00900692841,1.01809498157,0.377639178227,true,""
"abc_target_03_ec_s480","ec",480,0.166666666667,0.150000000000,0.500000000000,0.200000000000,0.0833333333333,0.00347222222222,0.00128794186236,true,""
"abc_target_04_ec_s960","ec",960,0.333333333333,0.300000000000,0.500000000000,0.200000000000,0.166666666667,0.0138888888889,0.00515176744943,true,""
"abc_target_05_ec_s1440","ec",1440,0.857142857143,0.800000000000,1,0.200000000000,0.285714285714,0.0816326530612,0.0302797760293,true,""
"abc_target_06_mac_s1440","mac",1440,0.736000000000,0.770000000000,1,0.200000000000,-0.170000000000,0.0289000000000,0.0107197977088,true,""
"abc_target_07_fibro_s1440","fibro",1440,0.957964572970,1.10000000000,1,0.270000000000,-0.526057137147,0.276736111543,0.102648966590,true,""
"abc_target_08_tumor_s480","tumor",480,0.602059991328,0.420000000000,1,0.270000000000,0.674296264178,0.454675451884,0.168651517901,true,""
"abc_target_09_tumor_s960","tumor",960,0.971275848738,0.780000000000,1,0.270000000000,0.708429069400,0.501871746372,0.186157909926,true,""
"abc_target_10_tumor_s1440","tumor",1440,1.23854788768,1.11000000000,1,0.270000000000,0.476103287709,0.226674340567,0.0840796912335,true,""
