target_id,statistic_type,step,simulated,target,weight,scale,standardized_residual,distance_contribution,share_of_d2,valid,invalid_reason
"abc_target_01_jnkp_s480","jnkp",480,0.498470948012,0.530000000000,1,0.200000000000,-0.157645259939,0.0248520279812,0.000948342470690,true,""
"abc_target_02_jnkp_s1440","jnkp",1440,0.198240469208,0.140000000000,1,0.200000000000,0.291202346041,0.0847988063398,0.00323588519926,true,""
"abc_target_03_ec_s480","ec",480,0.310344827586,0.150000000000,0.500000000000,0.200000000000,0.801724137931,0.321380796671,0.0122637500239,true,""
"abc_target_04_ec_s960","ec",960,0.680000000000,0.300000000000,0.500000000000,0.200000000000,1.90000000000,1.80500000000,0.0688780070943,true,""
"abc_target_05_ec_s1440","ec",1440,0.700000000000,0.800000000000,1,0.200000000000,-0.500000000000,0.250000000000,0.00953989017927,true,""
"abc_target_06_mac_s1440","mac",1440,0.809264305177,0.770000000000,1,0.200000000000,0.196321525886,0.0385421415260,0.00147075118973,true,""
"abc_target_07_fibro_s1440","fibro",1440,0.825435260906,1.10000000000,1,0.270000000000,-1.01690644109,1.03409870993,0.0394607525090,true,""
"abc_target_08_tumor_s480","tumor",480,1.11660774399,0.420000000000,1,0.270000000000,2.58002868144,6.65654799704,0.254010947459,true,""
"abc_target_09_tumor_s960","tumor",960,1.58115289197,0.780000000000,1,0.270000000000,2.96723293321,8.80447127992,0.335974756388,true,""
"abc_target_10_tumor_s1440","tumor",1440,1.83378437466,1.11000000000,1,0.270000000000,2.68068286910,7.18606064468,0.274216917487,true,""
