output,output_family,parameter,screened,current_status,classification,classification_reason,mu_star,sigma,n_valid,n_lost,mean_snr,mu_star_q25,mu_star_median,mu_star_q75,sigma_q25,sigma_median,sigma_q75
"abc_target_01_jnkp_s480_standardized_residual","jnk","netN",true,"ABC-inferred","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbN",true,"ABC-inferred","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOnMax",true,"ABC-inferred","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOffMax",true,"ABC-inferred","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbP",true,"ABC-inferred","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbP",true,"ABC-inferred","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","cafDivBoost",true,"ABC-inferred","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","ecSurvival",true,"ABC-inferred","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbF",true,"ABC-inferred","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFP",true,"ABC-inferred","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbM",true,"ABC-inferred","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbE",true,"ABC-inferred","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","recruitBias",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaCAF",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","stressStrength",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaStress",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbP",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbN",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFN",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbFN",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbFP",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbMN",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbMN",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbMP",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbMP",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbM",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbEN",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbEP",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbEP",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","deactProbE",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbL",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageDaughterActivationBoost",true,"hard-coded","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","endothelialDaughterDivisionBoost",true,"hard-coded","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","fibroblastSignalBoost",true,"hard-coded","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","fibroblastSignalCap",true,"hard-coded","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","tumorEndothelialRadius",true,"hard-coded","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageInteractionRadius",true,"hard-coded","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageEndothelialBiasRadius",true,"hard-coded","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","endothelialMacrophageRadius",true,"hard-coded","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","fibroblastTumorRadius",true,"hard-coded","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","clusterRadius",true,"fixed","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialJnkPositiveTenths",true,"hard-coded","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialMacrophageCount",true,"hard-coded","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialLungCount",true,"hard-coded","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","initPop",true,"fixed CLI","F","no valid replicate-mean elementary effects",,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbF",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbMP",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbEN",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbE",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbL",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,,,,,,
