outcome,parameter,n_runs,n_event,n_no_event,mean_physical_event,mean_physical_no_event,physical_mean_difference,normalized_mean_difference,rank_biserial_effect,point_biserial_correlation,univariate_logistic_coefficient,permutation_p_value
"EC_POPULATION_ZERO","netN",46,0,46,,0.00340263473933,,,,,,
"EC_POPULATION_ZERO","dieProbN",46,0,46,,0.0196170203868,,,,,,
"EC_POPULATION_ZERO","pOnMax",46,0,46,,0.0886050445697,,,,,,
"EC_POPULATION_ZERO","pOffMax",46,0,46,,0.0286045647220,,,,,,
"EC_POPULATION_ZERO","divProbP",46,0,46,,0.0106679633694,,,,,,
"EC_POPULATION_ZERO","dieProbP",46,0,46,,0.00119742993413,,,,,,
"EC_POPULATION_ZERO","cafDivBoost",46,0,46,,0.804347826087,,,,,,
"EC_POPULATION_ZERO","ecSurvival",46,0,46,,0.164347826087,,,,,,
"EC_POPULATION_ZERO","activProbF",46,0,46,,0.00326131197359,,,,,,
"EC_POPULATION_ZERO","divProbFP",46,0,46,,0.0326956521739,,,,,,
"EC_POPULATION_ZERO","activProbM",46,0,46,,0.0737391304348,,,,,,
"EC_POPULATION_ZERO","activProbE",46,0,46,,0.0166250859867,,,,,,
"EC_POPULATION_ZERO","recruitBias",46,0,46,,0.0843478260870,,,,,,
"EC_POPULATION_ZERO","lambdaCAF",46,0,46,,3.12797160788,,,,,,
"EC_POPULATION_ZERO","stressStrength",46,0,46,,1.01739130435,,,,,,
"EC_POPULATION_ZERO","lambdaStress",46,0,46,,2.69258974119,,,,,,
"EC_POPULATION_ZERO","migrProbP",46,0,46,,0.0117391304348,,,,,,
"EC_POPULATION_ZERO","migrProbN",46,0,46,,0.0278260869565,,,,,,
"EC_POPULATION_ZERO","divProbFN",46,0,46,,0.00608695652174,,,,,,
"EC_POPULATION_ZERO","dieProbFN",46,0,46,,0.00245694480078,,,,,,
"EC_POPULATION_ZERO","dieProbFP",46,0,46,,0.00339393813554,,,,,,
"EC_POPULATION_ZERO","divProbMN",46,0,46,,0.00365704217232,,,,,,
"EC_POPULATION_ZERO","dieProbMN",46,0,46,,0.00404994375890,,,,,,
"EC_POPULATION_ZERO","divProbMP",46,0,46,,0.00900496117639,,,,,,
"EC_POPULATION_ZERO","dieProbMP",46,0,46,,0.0105964287712,,,,,,
"EC_POPULATION_ZERO","migrProbM",46,0,46,,0.507608695652,,,,,,
"EC_POPULATION_ZERO","dieProbEN",46,0,46,,0.00755822383636,,,,,,
"EC_POPULATION_ZERO","divProbEP",46,0,46,,0.00296989508821,,,,,,
"EC_POPULATION_ZERO","dieProbEP",46,0,46,,0.00802993440374,,,,,,
"EC_POPULATION_ZERO","deactProbE",46,0,46,,0.0191304347826,,,,,,
"EC_POPULATION_ZERO","dieProbL",46,0,46,,0.00383360257163,,,,,,
"EC_POPULATION_ZERO","macrophageDaughterActivationBoost",46,0,46,,0.00469804592737,,,,,,
"EC_POPULATION_ZERO","endothelialDaughterDivisionBoost",46,0,46,,0.000506314363101,,,,,,
"EC_POPULATION_ZERO","fibroblastSignalBoost",46,0,46,,0.0288427326935,,,,,,
"EC_POPULATION_ZERO","fibroblastSignalCap",46,0,46,,9.26086956522,,,,,,
"EC_POPULATION_ZERO","tumorEndothelialRadius",46,0,46,,3.84782608696,,,,,,
"EC_POPULATION_ZERO","macrophageInteractionRadius",46,0,46,,1.65652173913,,,,,,
"EC_POPULATION_ZERO","macrophageEndothelialBiasRadius",46,0,46,,3.37826086957,,,,,,
"EC_POPULATION_ZERO","endothelialMacrophageRadius",46,0,46,,2.67391304348,,,,,,
"EC_POPULATION_ZERO","fibroblastTumorRadius",46,0,46,,3.79565217391,,,,,,
"EC_POPULATION_ZERO","clusterRadius",46,0,46,,4.13043478261,,,,,,
"EC_POPULATION_ZERO","initialJnkPositiveTenths",46,0,46,,8.43478260870,,,,,,
"EC_POPULATION_ZERO","initialMacrophageCount",46,0,46,,969.739130435,,,,,,
"EC_POPULATION_ZERO","initialLungCount",46,0,46,,1198.86956522,,,,,,
"EC_POPULATION_ZERO","initPop",46,0,46,,37.8260869565,,,,,,
"FIBROBLAST_POPULATION_ZERO","netN",46,0,46,,0.00340263473933,,,,,,
"FIBROBLAST_POPULATION_ZERO","dieProbN",46,0,46,,0.0196170203868,,,,,,
"FIBROBLAST_POPULATION_ZERO","pOnMax",46,0,46,,0.0886050445697,,,,,,
"FIBROBLAST_POPULATION_ZERO","pOffMax",46,0,46,,0.0286045647220,,,,,,
"FIBROBLAST_POPULATION_ZERO","divProbP",46,0,46,,0.0106679633694,,,,,,
"FIBROBLAST_POPULATION_ZERO","dieProbP",46,0,46,,0.00119742993413,,,,,,
"FIBROBLAST_POPULATION_ZERO","cafDivBoost",46,0,46,,0.804347826087,,,,,,
"FIBROBLAST_POPULATION_ZERO","ecSurvival",46,0,46,,0.164347826087,,,,,,
"FIBROBLAST_POPULATION_ZERO","activProbF",46,0,46,,0.00326131197359,,,,,,
"FIBROBLAST_POPULATION_ZERO","divProbFP",46,0,46,,0.0326956521739,,,,,,
"FIBROBLAST_POPULATION_ZERO","activProbM",46,0,46,,0.0737391304348,,,,,,
"FIBROBLAST_POPULATION_ZERO","activProbE",46,0,46,,0.0166250859867,,,,,,
"FIBROBLAST_POPULATION_ZERO","recruitBias",46,0,46,,0.0843478260870,,,,,,
"FIBROBLAST_POPULATION_ZERO","lambdaCAF",46,0,46,,3.12797160788,,,,,,
"FIBROBLAST_POPULATION_ZERO","stressStrength",46,0,46,,1.01739130435,,,,,,
"FIBROBLAST_POPULATION_ZERO","lambdaStress",46,0,46,,2.69258974119,,,,,,
"FIBROBLAST_POPULATION_ZERO","migrProbP",46,0,46,,0.0117391304348,,,,,,
"FIBROBLAST_POPULATION_ZERO","migrProbN",46,0,46,,0.0278260869565,,,,,,
"FIBROBLAST_POPULATION_ZERO","divProbFN",46,0,46,,0.00608695652174,,,,,,
"FIBROBLAST_POPULATION_ZERO","dieProbFN",46,0,46,,0.00245694480078,,,,,,
"FIBROBLAST_POPULATION_ZERO","dieProbFP",46,0,46,,0.00339393813554,,,,,,
"FIBROBLAST_POPULATION_ZERO","divProbMN",46,0,46,,0.00365704217232,,,,,,
"FIBROBLAST_POPULATION_ZERO","dieProbMN",46,0,46,,0.00404994375890,,,,,,
"FIBROBLAST_POPULATION_ZERO","divProbMP",46,0,46,,0.00900496117639,,,,,,
"FIBROBLAST_POPULATION_ZERO","dieProbMP",46,0,46,,0.0105964287712,,,,,,
"FIBROBLAST_POPULATION_ZERO","migrProbM",46,0,46,,0.507608695652,,,,,,
"FIBROBLAST_POPULATION_ZERO","dieProbEN",46,0,46,,0.00755822383636,,,,,,
"FIBROBLAST_POPULATION_ZERO","divProbEP",46,0,46,,0.00296989508821,,,,,,
"FIBROBLAST_POPULATION_ZERO","dieProbEP",46,0,46,,0.00802993440374,,,,,,
"FIBROBLAST_POPULATION_ZERO","deactProbE",46,0,46,,0.0191304347826,,,,,,
"FIBROBLAST_POPULATION_ZERO","dieProbL",46,0,46,,0.00383360257163,,,,,,
"FIBROBLAST_POPULATION_ZERO","macrophageDaughterActivationBoost",46,0,46,,0.00469804592737,,,,,,
"FIBROBLAST_POPULATION_ZERO","endothelialDaughterDivisionBoost",46,0,46,,0.000506314363101,,,,,,
"FIBROBLAST_POPULATION_ZERO","fibroblastSignalBoost",46,0,46,,0.0288427326935,,,,,,
"FIBROBLAST_POPULATION_ZERO","fibroblastSignalCap",46,0,46,,9.26086956522,,,,,,
"FIBROBLAST_POPULATION_ZERO","tumorEndothelialRadius",46,0,46,,3.84782608696,,,,,,
"FIBROBLAST_POPULATION_ZERO","macrophageInteractionRadius",46,0,46,,1.65652173913,,,,,,
"FIBROBLAST_POPULATION_ZERO","macrophageEndothelialBiasRadius",46,0,46,,3.37826086957,,,,,,
"FIBROBLAST_POPULATION_ZERO","endothelialMacrophageRadius",46,0,46,,2.67391304348,,,,,,
"FIBROBLAST_POPULATION_ZERO","fibroblastTumorRadius",46,0,46,,3.79565217391,,,,,,
"FIBROBLAST_POPULATION_ZERO","clusterRadius",46,0,46,,4.13043478261,,,,,,
"FIBROBLAST_POPULATION_ZERO","initialJnkPositiveTenths",46,0,46,,8.43478260870,,,,,,
