output,output_family,parameter,mu,mu_star,sigma,se_mu_star,median_absolute_ee,iqr_absolute_ee,min_ee,max_ee,n_valid_ee,n_lost_invalid_or_extinct,positive_fraction,negative_fraction,rank_by_mu_star,output_scale_sd,normalized_mu_star,mean_within_point_output_variance,mean_signal_to_noise_ratio
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","fibroblastTumorRadius",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialMacrophageCount",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialLungCount",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","initPop",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaStress",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","endothelialMacrophageRadius",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbM",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbL",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","clusterRadius",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","deactProbE",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbEN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbMP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","recruitBias",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","fibroblastSignalBoost",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbFN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","stressStrength",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageDaughterActivationBoost",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialJnkPositiveTenths",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaCAF",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbMN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbE",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","endothelialDaughterDivisionBoost",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbEP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOffMax",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","cafDivBoost",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbFP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbEP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","netN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbF",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageEndothelialBiasRadius",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbMP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbM",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOnMax",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbMN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","ecSurvival",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageInteractionRadius",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","fibroblastSignalCap",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_standardized_residual","jnk","tumorEndothelialRadius",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","divProbP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","fibroblastTumorRadius",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","migrProbP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","initialMacrophageCount",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","divProbFP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","initialLungCount",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","dieProbP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","initPop",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","lambdaStress",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","endothelialMacrophageRadius",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","migrProbM",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","dieProbL",,,,,,,,,0,1,,,,,,,
