outcome,rank_in_outcome,parameter,n_event,n_no_event,rank_biserial_effect,direction,point_biserial_correlation,normalized_mean_difference,univariate_logistic_coefficient,permutation_p_value,current_status,fixed_or_inferred,in_abc12,baseline_value,lower_bound,upper_bound
EC_POPULATION_ZERO,1,dieProbEN,1482,3118,0.763881134226,higher-value -> more likely event,0.592824668317,0.407717064903,7.21771186045,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
EC_POPULATION_ZERO,2,migrProbP,1482,3118,0.381757701354,higher-value -> more likely event,0.293382588004,0.227084648019,1.86840857113,0.00497512437811,fixed,fixed,False,0.1,0.0,0.3
EC_POPULATION_ZERO,3,dieProbEP,1482,3118,0.371431737186,higher-value -> more likely event,0.303843815086,0.226616338547,1.94458258988,0.00497512437811,fixed,fixed,False,0.008,0.001,0.02
EC_POPULATION_ZERO,4,ecSurvival,1482,3118,0.335833508625,higher-value -> more likely event,0.27244251037,0.191028281218,1.86496300533,0.00497512437811,ABC-inferred,inferred,True,0.0509998219712,0.0,0.3
EC_POPULATION_ZERO,5,deactProbE,1482,3118,0.330206869866,higher-value -> more likely event,0.272850102812,0.201660897198,1.75435330391,0.00497512437811,fixed,fixed,False,0.01,0.0,0.05
EC_POPULATION_ZERO,6,macrophageEndothelialBiasRadius,1482,3118,0.297547478011,higher-value -> more likely event,0.254806679309,0.181608855118,1.78980045283,0.00497512437811,hard-coded,fixed,False,3.5,1.5,5.5
EC_POPULATION_ZERO,7,divProbMP,1482,3118,-0.250666756693,higher-value -> less likely event,-0.213697403535,-0.143246432062,-1.53747482805,0.00497512437811,fixed,fixed,False,0.01575,0.001,0.03
EC_POPULATION_ZERO,8,fibroblastTumorRadius,1482,3118,-0.214193152987,higher-value -> less likely event,-0.185130111661,-0.136861062708,-1.17443634324,0.00497512437811,hard-coded,fixed,False,3.5,1.5,5.5
EC_POPULATION_ZERO,9,tumorEndothelialRadius,1482,3118,0.199455687623,higher-value -> more likely event,0.157662297595,0.116741068144,0.980765541321,0.00497512437811,hard-coded,fixed,False,3.5,1.5,5.5
EC_POPULATION_ZERO,10,activProbE,1482,3118,0.183030230632,higher-value -> more likely event,0.153745841356,0.114641033432,0.961658165853,0.00497512437811,ABC-inferred,inferred,True,0.0594775137265,0.005,0.08
