parameter,biological_category,current_status,fixed_or_inferred,in_abc12,baseline,lower_bound,upper_bound,overall_rank,overall_priority_score,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,peak_class,peak_class_meaning,n_bio_outputs,n_outputs_class_A,n_outputs_class_B,n_bio_outputs_top5,n_bio_outputs_top10,frac_bio_outputs_top10,frac_bio_outputs_classAB,max_normalized_mu_star,median_sigma_to_mustar,mean_valid_fraction,strongest_failure_outcome,strongest_failure_rank_biserial,top_affected_bio_outputs,classification
dieProbMP,macrophage,fixed,fixed,False,0.015,0.001,0.03,1,0.471532288385,0.373714797896,0.181032716236,0.248813295372,0.585838799798,0.6807733629,0.759020758106,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,102,33,56,0.49557522123893805,0.9026548672566371,1.56448912164,1.2163297217894713,0.9464601769911505,MACROPHAGE_POPULATION_ZERO,0.759020758106,abc_target_05_ec_s1440_standardized_residual;abc_target_05_ec_s1440_stat;ec_activated_fraction_s1440,HIGH_INFLUENCE
divProbMP,macrophage,fixed,fixed,False,0.01575,0.001,0.03,2,0.414273972171,0.426307276988,0.18828361603,0.269975873018,0.681976694905,0.668433615391,0.250666756693,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,101,42,67,0.5929203539823009,0.8938053097345132,1.38399507964,1.3840089163992355,0.9367256637168141,EC_POPULATION_ZERO,-0.250666756693,macrophage_activated_fraction_s480;cumulative_macrophage_divisions_s1440;macrophage_activated_fraction_s960,HIGH_INFLUENCE
pOffMax,jnk,ABC-inferred,inferred,True,0.118802956041,0.01,0.2,3,0.413982690228,0.496237946853,0.875,0.214045526294,0.15524573213,0.127693071174,0.615673864916,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,81,34,44,0.3893805309734513,0.7168141592920354,1.7486185559,1.0042198557707804,0.9641592920353981,FIBROBLAST_POPULATION_ZERO,0.615673864916,abc_target_01_jnkp_s480_standardized_residual;jnkp_fraction_s480;abc_target_01_jnkp_s480_stat,HIGH_INFLUENCE
divProbFN,fibroblast,fixed,fixed,False,0.0,0.0,0.01,4,0.350252259044,0.153939823215,0.244263284533,0.959512032762,0.163932217352,0.145310298499,0.434555897903,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,65,18,29,0.25663716814159293,0.5752212389380531,2.65986733854,0.6959854580227116,0.9420353982300885,FIBROBLAST_POPULATION_ZERO,-0.434555897903,cumulative_fibroblast_deaths_s480;fibroblast_log10_fold_s480;cumulative_fibroblast_divisions_s480,HIGH_INFLUENCE
dieProbFN,fibroblast,fixed,fixed,False,0.008,0.001,0.008,5,0.34714549528,0.151545387039,0.272624662075,0.749841154378,0.0823451528755,0.109203276884,0.717313338428,A,"high mu*, low sigma: strong near-linear/additive effect",113,3,56,18,52,0.46017699115044247,0.5221238938053098,1.74019358613,0.8584583707886646,0.9491150442477876,FIBROBLAST_POPULATION_ZERO,0.717313338428,fibroblast_total_s480;fibroblast_fold_change_s480;fibroblast_log10_fold_s480,HIGH_INFLUENCE
divProbMN,macrophage,fixed,fixed,False,0.005,0.001,0.01,6,0.341289323986,0.288237298667,0.122091713954,0.311378042111,0.730943109903,0.344399543922,0.250686235362,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,94,24,62,0.5486725663716814,0.831858407079646,1.82151367327,1.43403601924071,0.9349557522123895,GENERAL_INVALID,-0.250686235362,cumulative_macrophage_divisions_s480;cumulative_macrophage_divisions_s960;cumulative_macrophage_deaths_s480,HIGH_INFLUENCE
divProbP,tumor,ABC-inferred,inferred,True,0.00662139775929,0.005,0.03,7,0.33923947951,0.876344966831,0.208584171463,0.221669368471,0.160520509065,0.218557837719,0.349760023509,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,84,28,48,0.4247787610619469,0.7433628318584071,1.78527499591,1.553662755317751,0.9539823008849557,FIBROBLAST_POPULATION_ZERO,-0.349760023509,cumulative_tumor_divisions_s480;tumor_log10_fold_s1440;abc_target_10_tumor_s1440_stat,HIGH_INFLUENCE
stressStrength,jnk,fixed,fixed,False,1.5,0.0,3.0,8,0.331587858632,0.375099957866,0.66091358803,0.148975124628,0.17003413953,0.177085452048,0.45741888969,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,82,25,44,0.3893805309734513,0.7256637168141593,1.45076262786,1.524076542734356,0.9380530973451328,TUMOR_EXTINCT,-0.45741888969,abc_target_01_jnkp_s480_standardized_residual;jnkp_fraction_s480;abc_target_01_jnkp_s480_stat,HIGH_INFLUENCE
dieProbEN,endothelial,fixed,fixed,False,0.005,0.001,0.01,9,0.328213830132,0.126020215971,0.220454013598,0.103391326866,0.235788785008,0.519747505125,0.763881134226,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,47,14,45,0.39823008849557523,0.415929203539823,2.69340553728,1.0588301059673337,0.947345132743363,EC_POPULATION_ZERO,0.763881134226,cumulative_ec_deaths_s480;active_macrophage_ec_colocalization_s960;active_macrophage_ec_colocalization_s480,HIGH_INFLUENCE
dieProbMN,macrophage,fixed,fixed,False,0.005,0.001,0.01,10,0.319968982348,0.189084346546,0.0950609644619,0.338975927209,0.472991969398,0.283818162637,0.539882523833,A,"high mu*, low sigma: strong near-linear/additive effect",113,1,69,23,37,0.3274336283185841,0.6194690265486725,1.02403667731,1.3456881234845084,0.9433628318584071,MACROPHAGE_POPULATION_ZERO,0.539882523833,macrophage_activated_fraction_s480;macrophage_activated_fraction_s960;abc_target_06_mac_s1440_standardized_residual,HIGH_INFLUENCE
