output,output_family,rank_in_output,parameter,mu_signed,mu_star,sigma,sigma_to_mustar,n_valid_ee,valid_fraction,n_lost,lost_fraction,mean_snr,normalized_mu_star,positive_fraction,negative_fraction,effect_character,current_status,fixed_or_inferred,in_abc12
abc_target_01_jnkp_s480_standardized_residual,jnk,1,pOffMax,-2.73747980421,2.73747980421,1.20410559569,0.43985917040856076,20,1.0,0,0.0,5.41260077773,1.7486185559,0.0,1.0,consistent (near-linear/additive),ABC-inferred,inferred,True
abc_target_01_jnkp_s480_standardized_residual,jnk,2,stressStrength,2.23570959017,2.27118337564,1.96562422064,0.865462578549433,20,1.0,0,0.0,4.90458300715,1.45076262786,0.9,0.05,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,3,lambdaStress,0.9882202179,1.86541320036,2.68677068119,1.4403086033011288,19,0.95,1,0.050000000000000044,5.94976195899,1.19156902328,0.736842105263,0.0526315789474,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,4,lambdaCAF,1.12303634463,1.13858430939,0.984222808212,0.8644268150325208,20,1.0,0,0.0,2.58204917518,0.727292909264,0.9,0.05,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,5,pOnMax,1.12112902498,1.12112902498,0.647410591164,0.5774630544201184,20,1.0,0,0.0,2.78294851142,0.716143006283,0.95,0.0,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_01_jnkp_s480_standardized_residual,jnk,6,dieProbL,-0.594891205223,0.668795905584,0.662489640603,0.9905707183187772,20,1.0,0,0.0,4.23943596094,0.427206414021,0.2,0.75,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,7,dieProbFN,-0.307720583095,0.654343476499,1.09200276835,1.6688525332179556,20,1.0,0,0.0,1.00400068051,0.417974643383,0.25,0.75,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,8,activProbF,0.491128106171,0.624453648966,0.929710628859,1.4888384916934332,20,1.0,0,0.0,1.25166534579,0.39888193374,0.8,0.2,strong nonlinearity/interaction-dependent,ABC-inferred,inferred,True
abc_target_01_jnkp_s480_standardized_residual,jnk,9,endothelialMacrophageRadius,-0.166295461152,0.606974503738,0.911462582799,1.5016488784715611,19,0.95,1,0.050000000000000044,0.618554507916,0.387716789201,0.421052631579,0.578947368421,strong nonlinearity/interaction-dependent; sign-varying,hard-coded,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,10,divProbP,0.197767768141,0.497814568223,0.666224473255,1.338298466501606,20,1.0,0,0.0,0.980602557303,0.317988753762,0.55,0.4,strong nonlinearity/interaction-dependent; sign-varying,ABC-inferred,inferred,True
abc_target_01_jnkp_s480_stat,jnk,1,pOffMax,-0.547495960843,0.547495960843,0.240821119138,0.4398591704077574,20,1.0,0,0.0,5.41260077773,1.7486185559,0.0,1.0,consistent (near-linear/additive),ABC-inferred,inferred,True
abc_target_01_jnkp_s480_stat,jnk,2,stressStrength,0.447141918033,0.454236675128,0.393124844127,0.8654625785472316,20,1.0,0,0.0,4.90458300715,1.45076262786,0.9,0.05,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,3,lambdaStress,0.19764404358,0.373082640071,0.537354136239,1.4403086033076695,19,0.95,1,0.050000000000000044,5.94976195899,1.19156902328,0.736842105263,0.0526315789474,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,4,lambdaCAF,0.224607268925,0.227716861879,0.196844561642,0.8644268150269683,20,1.0,0,0.0,2.58204917518,0.727292909264,0.9,0.05,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,5,pOnMax,0.224225804995,0.224225804995,0.129482118233,0.5774630544235857,20,1.0,0,0.0,2.78294851142,0.716143006283,0.95,0.0,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_01_jnkp_s480_stat,jnk,6,dieProbL,-0.118978241045,0.133759181117,0.132497928121,0.9905707183202866,20,1.0,0,0.0,4.23943596094,0.427206414021,0.2,0.75,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,7,dieProbFN,-0.061544116619,0.1308686953,0.218400553671,1.6688525332230464,20,1.0,0,0.0,1.00400068051,0.417974643383,0.25,0.75,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,8,activProbF,0.0982256212342,0.124890729793,0.185942125772,1.4888384916974187,20,1.0,0,0.0,1.25166534579,0.39888193374,0.8,0.2,strong nonlinearity/interaction-dependent,ABC-inferred,inferred,True
