output,output_family,parameter,screened,current_status,classification,classification_reason,mu_star,sigma,n_valid,n_lost,mean_snr,mu_star_q25,mu_star_median,mu_star_q75,sigma_q25,sigma_median,sigma_q75
"abc_target_01_jnkp_s480_standardized_residual","jnk","netN",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.303187934127,0.410038583386,20,0,0.629399693578,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbN",true,"ABC-inferred","C","sigma at/above output Q75 while mu-star below Q75",0.436833595222,0.750857835952,20,0,0.832471000749,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOnMax",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",1.12112902498,0.647410591164,20,0,2.78294851142,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOffMax",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",2.73747980421,1.20410559569,20,0,5.41260077773,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbP",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",0.497814568223,0.666224473255,20,0,0.980602557303,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbP",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.307745732150,0.465887860076,20,0,0.702338639969,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","cafDivBoost",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.141208109959,0.183757723856,20,0,0.267354913503,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","ecSurvival",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.254738063458,0.433920031415,20,0,0.661295136259,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbF",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",0.624453648966,0.929710628859,20,0,1.25166534579,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFP",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.183424489631,0.245786366578,20,0,0.470862255602,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbM",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.192198354224,0.329789171563,20,0,0.542528687021,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbE",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.322004089295,0.471382951895,18,2,0.537662139271,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","recruitBias",true,"fixed","C","intermediate mu-star with above-median variability",0.341318376721,0.674775638604,20,0,0.523450302670,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaCAF",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",1.13858430939,0.984222808212,20,0,2.58204917518,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","stressStrength",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",2.27118337564,1.96562422064,20,0,4.90458300715,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaStress",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",1.86541320036,2.68677068119,19,1,5.94976195899,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbP",true,"fixed","C","intermediate mu-star with above-median variability",0.362428417951,0.556227032524,20,0,0.992730369426,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbN",true,"fixed","C","intermediate mu-star with above-median variability",0.313135423349,0.540514080849,19,1,0.530767181871,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFN",true,"fixed","D","mu-star and sigma at/below output medians",0.328623637468,0.479662038574,20,0,0.766311171670,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
