,current_status_a,current_status_b,in_abc12,rank_a,rank_b,rank_change_b_minus_a,abs_rank_change,score_a,score_b,score_change,tumor_score_a,tumor_score_b,jnk_score_a,jnk_score_b,fibroblast_score_a,fibroblast_score_b,macrophage_score_a,macrophage_score_b,endothelial_score_a,endothelial_score_b,failure_score_a,failure_score_b
dieProbMP,fixed,fixed,False,2,1,-1,1,0.497298823778,0.471532288385,-0.025766535393,0.453696363129,0.373714797896,0.452534376851,0.181032716236,0.496414908565,0.248813295372,0.711125705274,0.585838799798,0.510156392769,0.6807733629,0.359865196078,0.759020758106
divProbMP,fixed,fixed,False,1,2,1,1,0.516678761519,0.414273972171,-0.10240478934800007,0.540467330398,0.426307276988,0.353548517686,0.18828361603,0.42327461028,0.269975873018,0.788406267427,0.681976694905,0.590640985429,0.668433615391,0.403734857893,0.250666756693
pOffMax,ABC-inferred,ABC-inferred,True,8,3,-5,5,0.362177957776,0.413982690228,0.05180473245200001,0.482858759988,0.496237946853,0.711193091904,0.875,0.21841872375,0.214045526294,0.18156640347,0.15524573213,0.164231433207,0.127693071174,0.41479933434,0.615673864916
divProbFN,fixed,fixed,False,3,4,1,1,0.423818575876,0.350252259044,-0.07356631683200004,0.22688061785,0.153939823215,0.331923410112,0.244263284533,0.95159222125,0.959512032762,0.146900915829,0.163932217352,0.262796069698,0.145310298499,0.622818220519,0.434555897903
dieProbFN,fixed,fixed,False,9,5,-4,4,0.350511632722,0.34714549528,-0.0033661374419999834,0.212262797151,0.151545387039,0.207413724983,0.272624662075,0.638796793674,0.749841154378,0.111004131117,0.0823451528755,0.215878815599,0.109203276884,0.717713533805,0.717313338428
divProbMN,fixed,fixed,False,5,6,1,1,0.403417674,0.341289323986,-0.06212835001400002,0.301722617276,0.288237298667,0.462064023946,0.122091713954,0.332930291812,0.311378042111,0.690740917913,0.730943109903,0.304197938828,0.344399543922,0.328850254223,0.250686235362
divProbP,ABC-inferred,ABC-inferred,True,7,7,0,0,0.370747240327,0.33923947951,-0.03150776081700002,0.86006975011,0.876344966831,0.391254368389,0.208584171463,0.436406955058,0.221669368471,0.121836962625,0.160520509065,0.192035263363,0.218557837719,0.22288014242,0.349760023509
stressStrength,fixed,fixed,False,4,8,4,4,0.423152887154,0.331587858632,-0.09156502852199999,0.487780180931,0.375099957866,0.848490449564,0.66091358803,0.266266283517,0.148975124628,0.201817660135,0.17003413953,0.317867056219,0.177085452048,0.416695692558,0.45741888969
dieProbEN,fixed,fixed,False,11,9,-2,2,0.344587896255,0.328213830132,-0.01637406612300002,0.193928255911,0.126020215971,0.23457408098,0.220454013598,0.171440758823,0.103391326866,0.339845772191,0.235788785008,0.540037361837,0.519747505125,0.587701147785,0.763881134226
dieProbMN,fixed,fixed,False,6,10,4,4,0.386751104145,0.319968982348,-0.06678212179700005,0.245055989408,0.189084346546,0.214574531793,0.0950609644619,0.427370418888,0.338975927209,0.556772133421,0.472991969398,0.333398421667,0.283818162637,0.543335129689,0.539882523833
migrProbP,fixed,fixed,False,10,11,1,1,0.348521796276,0.263348610365,-0.08517318591099998,0.580657296479,0.539104872703,0.426820975105,0.144803314092,0.206763156196,0.17292551396,0.11379570025,0.170010770685,0.256611200616,0.12533919508,0.506482449011,0.427907995673
lambdaStress,fixed,fixed,False,13,12,-1,1,0.325208962171,0.243176113913,-0.08203284825799997,0.345396725522,0.246286131191,0.676065586064,0.510375726151,0.1599964622,0.108410406892,0.117199900972,0.133324920732,0.315430347309,0.137092933053,0.337164750958,0.323566565458
divProbEP,fixed,fixed,False,24,13,-11,11,0.254787220179,0.221816309835,-0.032970910344000015,0.180898977871,0.0967275119747,0.214735332508,0.113732149919,0.0994872260319,0.053000300488,0.171184518564,0.125050104049,0.562597682696,0.507379446934,0.299819583402,0.435008345645
dieProbFP,fixed,fixed,False,26,14,-12,12,0.244593847568,0.221221313566,-0.02337253400200001,0.230998619475,0.116941822059,0.277444207508,0.174984982612,0.505694601279,0.336347409608,0.12137356932,0.0996455504487,0.216374236515,0.111109490409,0.11567785131,0.488298626261
activProbF,ABC-inferred,ABC-inferred,True,34,15,-19,19,0.211326311946,0.215976215303,0.004649903357000024,0.192244928974,0.151928233657,0.211491325278,0.239438964285,0.338218681114,0.454094303643,0.113287511973,0.113553412699,0.225074210623,0.0946769225951,0.187641213713,0.242165454937
initialJnkPositiveTenths,hard-coded,hard-coded,False,29,16,-13,13,0.231784840413,0.215075234172,-0.016709606240999986,0.260744672927,0.12090448764,0.349523308725,0.291966029764,0.169354851453,0.118468274235,0.158116916978,0.0969041727947,0.21797567809,0.0962007946785,0.234993614304,0.566007645919
pOnMax,ABC-inferred,ABC-inferred,True,25,17,-8,8,0.253934449354,0.213772084245,-0.04016236510900001,0.48595997641,0.257847546034,0.339939482924,0.440278745549,0.243332238734,0.153450411609,0.135245148159,0.11080791131,0.116875813954,0.141383203306,0.202254035943,0.178864687663
migrProbM,fixed,fixed,False,19,18,-1,1,0.283978111685,0.213038184176,-0.07093992750899997,0.255432977973,0.203917985372,0.323148729193,0.1379323184,0.195213396768,0.101267839286,0.267475578581,0.251308403836,0.35267887308,0.259841015321,0.309919114517,0.323961542838
macrophageInteractionRadius,hard-coded,hard-coded,False,22,19,-3,3,0.271893090579,0.210141474672,-0.06175161590700001,0.358493604076,0.146786722402,0.237231399228,0.155363072071,0.173307977368,0.0984781282195,0.315519861245,0.156734777934,0.406080754861,0.398454305528,0.140724946695,0.305031841875
