output_family,output_name,rows,valid,invalid
abc,maximum_absolute_standardized_residual,4600,1963,2637
abc,total_abc_distance,4600,1963,2637
endothelial,abc_target_03_ec_s480_standardized_residual,4600,4561,39
endothelial,abc_target_03_ec_s480_stat,4600,4561,39
endothelial,abc_target_04_ec_s960_standardized_residual,4600,3822,778
endothelial,abc_target_04_ec_s960_stat,4600,3822,778
endothelial,abc_target_05_ec_s1440_standardized_residual,4600,3118,1482
endothelial,abc_target_05_ec_s1440_stat,4600,3118,1482
endothelial,cumulative_ec_deaths_s0,4600,4600,0
endothelial,cumulative_ec_deaths_s1440,4600,4600,0
endothelial,cumulative_ec_deaths_s480,4600,4600,0
endothelial,cumulative_ec_deaths_s960,4600,4600,0
endothelial,cumulative_ec_divisions_s0,4600,4600,0
endothelial,cumulative_ec_divisions_s1440,4600,4600,0
endothelial,cumulative_ec_divisions_s480,4600,4600,0
endothelial,cumulative_ec_divisions_s960,4600,4600,0
endothelial,ec_activated_fraction_s0,4600,4600,0
endothelial,ec_activated_fraction_s1440,4600,3118,1482
endothelial,ec_activated_fraction_s480,4600,4561,39
endothelial,ec_activated_fraction_s960,4600,3822,778
failure,ec_population_zero_status,4600,4600,0
failure,fibroblast_population_zero_status,4600,4600,0
failure,invalid_denominator_status,4600,4600,0
failure,macrophage_population_zero_status,4600,4600,0
failure,overall_error_status,4600,4600,0
failure,overall_finite_status,4600,4600,0
failure,overall_invalid_status,4600,4600,0
failure,tumor_extinction_status,4600,4600,0
fibroblast,abc_target_07_fibro_s1440_standardized_residual,4600,4343,257
fibroblast,abc_target_07_fibro_s1440_stat,4600,4343,257
fibroblast,cumulative_fibroblast_deaths_s0,4600,4600,0
fibroblast,cumulative_fibroblast_deaths_s1440,4600,4600,0
fibroblast,cumulative_fibroblast_deaths_s480,4600,4600,0
fibroblast,cumulative_fibroblast_deaths_s960,4600,4600,0
fibroblast,cumulative_fibroblast_divisions_s0,4600,4600,0
fibroblast,cumulative_fibroblast_divisions_s1440,4600,4600,0
fibroblast,cumulative_fibroblast_divisions_s480,4600,4600,0
fibroblast,cumulative_fibroblast_divisions_s960,4600,4600,0
fibroblast,fibroblast_fold_change_s0,4600,4600,0
fibroblast,fibroblast_fold_change_s1440,4600,4600,0
fibroblast,fibroblast_fold_change_s480,4600,4600,0
fibroblast,fibroblast_fold_change_s960,4600,4600,0
fibroblast,fibroblast_log10_fold_s0,4600,4600,0
fibroblast,fibroblast_log10_fold_s1440,4600,4343,257
fibroblast,fibroblast_log10_fold_s480,4600,4600,0
fibroblast,fibroblast_log10_fold_s960,4600,4525,75
fibroblast,fibroblast_total_s0,4600,4600,0
fibroblast,fibroblast_total_s1440,4600,4600,0
fibroblast,fibroblast_total_s480,4600,4600,0
fibroblast,fibroblast_total_s960,4600,4600,0
fibroblast,temporal_fibroblast_tumor_correlation,4600,4600,0
jnk,abc_target_01_jnkp_s480_standardized_residual,4600,4397,203
jnk,abc_target_01_jnkp_s480_stat,4600,4397,203
jnk,abc_target_02_jnkp_s1440_standardized_residual,4600,3650,950
jnk,abc_target_02_jnkp_s1440_stat,4600,3650,950
jnk,jnkp_fraction_s0,4600,4600,0
jnk,jnkp_fraction_s1440,4600,3650,950
jnk,jnkp_fraction_s480,4600,4397,203
jnk,jnkp_fraction_s960,4600,3990,610
jnk,jnkp_rim_fraction_s0,4600,4595,5
jnk,jnkp_rim_fraction_s1440,4600,3416,1184
jnk,jnkp_rim_fraction_s480,4600,3966,634
jnk,jnkp_rim_fraction_s960,4600,3704,896
macrophage,abc_target_06_mac_s1440_standardized_residual,4600,3997,603
macrophage,abc_target_06_mac_s1440_stat,4600,3997,603
macrophage,active_macrophage_ec_colocalization_s0,4600,0,4600
macrophage,active_macrophage_ec_colocalization_s1440,4600,3565,1035
macrophage,active_macrophage_ec_colocalization_s480,4600,4467,133
macrophage,active_macrophage_ec_colocalization_s960,4600,3984,616
macrophage,cumulative_macrophage_deaths_s0,4600,4600,0
macrophage,cumulative_macrophage_deaths_s1440,4600,4600,0
macrophage,cumulative_macrophage_deaths_s480,4600,4600,0
macrophage,cumulative_macrophage_deaths_s960,4600,4600,0
macrophage,cumulative_macrophage_divisions_s0,4600,4600,0
macrophage,cumulative_macrophage_divisions_s1440,4600,4600,0
macrophage,cumulative_macrophage_divisions_s480,4600,4600,0
macrophage,cumulative_macrophage_divisions_s960,4600,4600,0
macrophage,macrophage_activated_fraction_s0,4600,4600,0
macrophage,macrophage_activated_fraction_s1440,4600,3997,603
macrophage,macrophage_activated_fraction_s480,4600,4600,0
macrophage,macrophage_activated_fraction_s960,4600,4338,262
population,total_population_s0,4600,4600,0
population,total_population_s1440,4600,4600,0
population,total_population_s480,4600,4600,0
population,total_population_s960,4600,4600,0
tumor,abc_target_08_tumor_s480_standardized_residual,4600,4397,203
tumor,abc_target_08_tumor_s480_stat,4600,4397,203
tumor,abc_target_09_tumor_s960_standardized_residual,4600,3990,610
tumor,abc_target_09_tumor_s960_stat,4600,3990,610
tumor,abc_target_10_tumor_s1440_standardized_residual,4600,3650,950
tumor,abc_target_10_tumor_s1440_stat,4600,3650,950
tumor,cumulative_chemo_tumor_deaths_s0,4600,4600,0
tumor,cumulative_chemo_tumor_deaths_s1440,4600,4600,0
tumor,cumulative_chemo_tumor_deaths_s480,4600,4600,0
tumor,cumulative_chemo_tumor_deaths_s960,4600,4600,0
tumor,cumulative_chemo_tumor_divisions_s0,4600,4600,0
tumor,cumulative_chemo_tumor_divisions_s1440,4600,4600,0
tumor,cumulative_chemo_tumor_divisions_s480,4600,4600,0
tumor,cumulative_chemo_tumor_divisions_s960,4600,4600,0
tumor,cumulative_tumor_deaths_s0,4600,4600,0
tumor,cumulative_tumor_deaths_s1440,4600,4600,0
tumor,cumulative_tumor_deaths_s480,4600,4600,0
tumor,cumulative_tumor_deaths_s960,4600,4600,0
tumor,cumulative_tumor_divisions_s0,4600,4600,0
tumor,cumulative_tumor_divisions_s1440,4600,4600,0
tumor,cumulative_tumor_divisions_s480,4600,4600,0
tumor,cumulative_tumor_divisions_s960,4600,4600,0
tumor,tumor_fold_change_s0,4600,4600,0
tumor,tumor_fold_change_s1440,4600,4600,0
tumor,tumor_fold_change_s480,4600,4600,0
tumor,tumor_fold_change_s960,4600,4600,0
tumor,tumor_log10_fold_s0,4600,4600,0
tumor,tumor_log10_fold_s1440,4600,3650,950
tumor,tumor_log10_fold_s480,4600,4397,203
tumor,tumor_log10_fold_s960,4600,3990,610
tumor,tumor_radius_s0,4600,4600,0
tumor,tumor_radius_s1440,4600,3650,950
tumor,tumor_radius_s480,4600,4397,203
tumor,tumor_radius_s960,4600,3990,610
tumor,tumor_rms_spread_s0,4600,4600,0
tumor,tumor_rms_spread_s1440,4600,3650,950
tumor,tumor_rms_spread_s480,4600,4397,203
tumor,tumor_rms_spread_s960,4600,3990,610
tumor,tumor_total_s0,4600,4600,0
tumor,tumor_total_s1440,4600,4600,0
tumor,tumor_total_s480,4600,4600,0
tumor,tumor_total_s960,4600,4600,0
