sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,status,flags,error_class,error_message,runtime_ms
"T0000_S001_R000","T0000_S001",0,1,0,2622772931722472920,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4385
"T0000_S002_R000","T0000_S002",0,2,0,2622772931722472920,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3862
"T0000_S011_R003","T0000_S011",0,11,3,3805486993922570045,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",6415
"T0000_S013_R004","T0000_S013",0,13,4,1934679071545777528,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",6510
"T0000_S014_R004","T0000_S014",0,14,4,1934679071545777528,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",6661
"T0000_S022_R004","T0000_S022",0,22,4,1934679071545777528,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",6620
"T0000_S023_R001","T0000_S023",0,23,1,-1421113631159533042,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",6155
"T0000_S023_R002","T0000_S023",0,23,2,-7606411648629758159,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",6162
"T0000_S025_R004","T0000_S025",0,25,4,1934679071545777528,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",6087
"T0000_S026_R002","T0000_S026",0,26,2,-7606411648629758159,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",6365
"T0000_S026_R004","T0000_S026",0,26,4,1934679071545777528,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",6028
"T0000_S030_R003","T0000_S030",0,30,3,3805486993922570045,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2062
"T0000_S030_R004","T0000_S030",0,30,4,1934679071545777528,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2081
"T0000_S031_R000","T0000_S031",0,31,0,2622772931722472920,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1945
"T0000_S032_R000","T0000_S032",0,32,0,2622772931722472920,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1978
"T0000_S033_R000","T0000_S033",0,33,0,2622772931722472920,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2169
"T0000_S033_R002","T0000_S033",0,33,2,-7606411648629758159,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2042
"T0000_S034_R001","T0000_S034",0,34,1,-1421113631159533042,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1991
