overall_rank,parameter,current_status,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,overall_biological_priority_score,weighting_rule
1,"dieProbMP","fixed",0.373714797896,0.181032716236,0.248813295372,0.585838799798,0.680773362900,0.759020758106,0.471532288385,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
2,"divProbMP","fixed",0.426307276988,0.188283616030,0.269975873018,0.681976694905,0.668433615391,0.250666756693,0.414273972171,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
3,"pOffMax","ABC-inferred",0.496237946853,0.875000000000,0.214045526294,0.155245732130,0.127693071174,0.615673864916,0.413982690228,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
4,"divProbFN","fixed",0.153939823215,0.244263284533,0.959512032762,0.163932217352,0.145310298499,0.434555897903,0.350252259044,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
5,"dieProbFN","fixed",0.151545387039,0.272624662075,0.749841154378,0.0823451528755,0.109203276884,0.717313338428,0.347145495280,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
6,"divProbMN","fixed",0.288237298667,0.122091713954,0.311378042111,0.730943109903,0.344399543922,0.250686235362,0.341289323986,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
7,"divProbP","ABC-inferred",0.876344966831,0.208584171463,0.221669368471,0.160520509065,0.218557837719,0.349760023509,0.339239479510,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
8,"stressStrength","fixed",0.375099957866,0.660913588030,0.148975124628,0.170034139530,0.177085452048,0.457418889690,0.331587858632,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
9,"dieProbEN","fixed",0.126020215971,0.220454013598,0.103391326866,0.235788785008,0.519747505125,0.763881134226,0.328213830132,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
10,"dieProbMN","fixed",0.189084346546,0.0950609644619,0.338975927209,0.472991969398,0.283818162637,0.539882523833,0.319968982348,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
11,"migrProbP","fixed",0.539104872703,0.144803314092,0.172925513960,0.170010770685,0.125339195080,0.427907995673,0.263348610365,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
12,"lambdaStress","fixed",0.246286131191,0.510375726151,0.108410406892,0.133324920732,0.137092933053,0.323566565458,0.243176113913,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
13,"divProbEP","fixed",0.0967275119747,0.113732149919,0.0530003004880,0.125050104049,0.507379446934,0.435008345645,0.221816309835,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
14,"dieProbFP","fixed",0.116941822059,0.174984982612,0.336347409608,0.0996455504487,0.111109490409,0.488298626261,0.221221313566,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
15,"activProbF","ABC-inferred",0.151928233657,0.239438964285,0.454094303643,0.113553412699,0.0946769225951,0.242165454937,0.215976215303,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
16,"initialJnkPositiveTenths","hard-coded",0.120904487640,0.291966029764,0.118468274235,0.0969041727947,0.0962007946785,0.566007645919,0.215075234172,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
17,"pOnMax","ABC-inferred",0.257847546034,0.440278745549,0.153450411609,0.110807911310,0.141383203306,0.178864687663,0.213772084245,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
18,"migrProbM","fixed",0.203917985372,0.137932318400,0.101267839286,0.251308403836,0.259841015321,0.323961542838,0.213038184176,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
19,"macrophageInteractionRadius","hard-coded",0.146786722402,0.155363072071,0.0984781282195,0.156734777934,0.398454305528,0.305031841875,0.210141474672,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
20,"clusterRadius","fixed",0.343751690905,0.208905700415,0.107297996986,0.107778035063,0.173366116984,0.319584630430,0.210114028464,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
21,"lambdaCAF","fixed",0.235333867628,0.393903797044,0.0847575756673,0.0856917059793,0.127011137227,0.323891343051,0.208431571100,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
22,"dieProbP","ABC-inferred",0.157265813787,0.185855674070,0.113388072044,0.0788428892137,0.126907772687,0.519871415248,0.197021939508,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
23,"endothelialMacrophageRadius","hard-coded",0.122264959574,0.136541535773,0.0971600992265,0.110344279958,0.520029902158,0.174793078587,0.193522309213,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
24,"dieProbEP","fixed",0.0728206198527,0.123603289372,0.0536453321347,0.132721752364,0.405129236297,0.371431737186,0.193225327868,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
25,"initialMacrophageCount","hard-coded",0.177497536705,0.116345672865,0.163773569309,0.213870813560,0.202313522216,0.277870094113,0.191945201461,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
26,"dieProbL","fixed",0.192895519682,0.476173880744,0.155879910815,0.0843199608080,0.0882470514502,0.138820475847,0.189389466558,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
27,"recruitBias","fixed",0.209038202786,0.190647136279,0.123024069469,0.164827974318,0.177109310970,0.238340031973,0.183831120966,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
28,"netN","ABC-inferred",0.129146592780,0.159975876250,0.0724298571633,0.0440962293147,0.111846893603,0.464896765443,0.163732035759,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
29,"initPop","fixed CLI",0.192730176616,0.0887232258673,0.0983793735313,0.0689540076019,0.181091559683,0.338898452446,0.161462799291,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
30,"dieProbN","ABC-inferred",0.187577793350,0.191441094240,0.121653564061,0.0699872073721,0.123677335013,0.269558759913,0.160649292325,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
31,"activProbM","ABC-inferred",0.110686053444,0.127067586053,0.0957144034289,0.0823580913057,0.183979059533,0.337794796582,0.156266665058,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
32,"divProbFP","ABC-inferred",0.116210728417,0.146197212475,0.301194368733,0.0633235249737,0.0941456725078,0.213208363374,0.155713311747,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
33,"deactProbE","fixed",0.0587757059342,0.163388737750,0.0453162678545,0.0676691289617,0.261696587973,0.330206869866,0.154508883057,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
34,"fibroblastTumorRadius","hard-coded",0.0904334792383,0.0935507503481,0.237196505953,0.0516530847992,0.177833564814,0.274469948647,0.154189555633,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
35,"initialLungCount","hard-coded",0.141484653094,0.231283734503,0.132176628198,0.0775882773405,0.0898183433022,0.242476152420,0.152471298143,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
36,"activProbE","ABC-inferred",0.0920921828236,0.129364754308,0.0777918017262,0.0893763072757,0.272390132924,0.190246575342,0.141876959067,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
37,"macrophageEndothelialBiasRadius","hard-coded",0.0619255481761,0.0782137670751,0.0694301117274,0.157416740898,0.113688121425,0.297547478011,0.129703627885,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
38,"migrProbN","fixed",0.0986407048681,0.106984953075,0.0820378092994,0.0512542103627,0.145557228507,0.229805052941,0.119046659842,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
39,"tumorEndothelialRadius","hard-coded",0.0610518718190,0.0961834256464,0.0480952464033,0.0493819707648,0.0874032236259,0.361913397022,0.117338189214,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
40,"ecSurvival","ABC-inferred",0.0490937125438,0.0820127257739,0.0413316927219,0.0529676514052,0.137720941336,0.335833508625,0.116493372068,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
41,"cafDivBoost","ABC-inferred",0.0816977067062,0.164916706733,0.0703201114550,0.0661301744668,0.0818682129598,0.188225746424,0.108859776458,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
42,"fibroblastSignalBoost","hard-coded",0.0813320601876,0.111489835553,0.0766989879172,0.0606899139153,0.0934736787971,0.170944612333,0.0991048481172,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
43,"fibroblastSignalCap","hard-coded",0.0379589100931,0.0625480877100,0.0248416192892,0.0326792463994,0.0440436792920,0.283501067508,0.0809287683819,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
44,"macrophageDaughterActivationBoost","hard-coded",0.0426270542809,0.0448310254611,0.0476638988549,0.0483591953121,0.0843111056626,0.167656522270,0.0725748003069,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
45,"endothelialDaughterDivisionBoost","hard-coded",0.0308265273106,0.0697998138878,0.0185147004093,0.0314750083867,0.102665186841,0.117567411680,0.0618081080859,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
