output,output_family,parameter,screened,current_status,classification,classification_reason,mu_star,sigma,n_valid,n_lost,mean_snr,mu_star_q25,mu_star_median,mu_star_q75,sigma_q25,sigma_median,sigma_q75
"abc_target_01_jnkp_s480_standardized_residual","jnk","netN",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.522555475766,0.310166990184,2,0,0.800135608534,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbN",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",0.695536521556,0.838598780811,2,0,1.42159526857,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOnMax",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",1.44068294417,1.66670096792,2,0,6.10308275453,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOffMax",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",2.29290780142,1.93320430784,2,0,6.51367154731,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbP",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",1.05103765948,1.48639171260,2,0,0.887863491013,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbP",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.365936069387,0.517511752288,2,0,0.258655983063,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","cafDivBoost",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.138832195284,0.00836582290888,2,0,0.316427159079,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","ecSurvival",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.132170235263,0.186916939251,2,0,1.38893168339,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbF",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",0.926069058996,0.841637335162,2,0,1.56536348284,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFP",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.350950320593,0.0602005228326,2,0,0.382916655155,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbM",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.202079846429,0.205262316321,2,0,0.629975009270,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbE",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",1.57512082409,2.22755723180,2,0,1.45493944547,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","recruitBias",true,"fixed","D","mu-star and sigma at/below output medians",0.0324958091047,0.0459560139562,2,0,0.0512715968029,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaCAF",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",1.02935009319,1.45572086222,2,0,7.02462148132,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","stressStrength",true,"fixed","A","mu-star at/above output Q75 with sigma below median",0.809768414649,0.0953527382297,2,0,0.755530375838,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaStress",true,"fixed","C","intermediate mu-star with above-median variability",0.244760982543,0.346144301052,2,0,1.97835023294,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbP",true,"fixed","C","sigma at/above output Q75 while mu-star below Q75",0.443565248738,0.627295990563,2,0,1.03195790803,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbN",true,"fixed","D","mu-star and sigma at/below output medians",0.131062425687,0.185350259924,2,0,0.416327638556,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFN",true,"fixed","D","mu-star and sigma at/below output medians",0.165727147158,0.234373579165,2,0,1.49788078547,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbFN",true,"fixed","D","mu-star and sigma at/below output medians",0.0366875659997,0.0518840534072,2,0,0.261854613034,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbFP",true,"fixed","D","mu-star and sigma at/below output medians",0.125161628061,0.0727122363197,2,0,1.03964838216,0.131062425687,0.244760982543,0.679294163787,0.116192995702,0.234373579165,0.627295990563
