sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,status,flags,error_class,error_message,runtime_ms
"T0000_S001_R000","T0000_S001",0,1,0,2622772931722472920,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4209
"T0000_S002_R000","T0000_S002",0,2,0,2622772931722472920,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3930
"T0000_S023_R001","T0000_S023",0,23,1,-1421113631159533042,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",6366
"T0000_S031_R000","T0000_S031",0,31,0,2622772931722472920,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1931
"T0000_S032_R000","T0000_S032",0,32,0,2622772931722472920,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1897
"T0000_S033_R000","T0000_S033",0,33,0,2622772931722472920,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1947
"T0000_S034_R001","T0000_S034",0,34,1,-1421113631159533042,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1951
"T0000_S040_R001","T0000_S040",0,40,1,-1421113631159533042,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2286
"T0000_S041_R001","T0000_S041",0,41,1,-1421113631159533042,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2151
"T0000_S042_R000","T0000_S042",0,42,0,2622772931722472920,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2189
"T0000_S042_R001","T0000_S042",0,42,1,-1421113631159533042,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2052
"T0001_S000_R000","T0001_S000",1,0,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4106
"T0001_S000_R001","T0001_S000",1,0,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4177
"T0001_S001_R000","T0001_S001",1,1,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4127
"T0001_S001_R001","T0001_S001",1,1,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4115
"T0001_S002_R000","T0001_S002",1,2,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4250
"T0001_S002_R001","T0001_S002",1,2,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4379
"T0001_S003_R000","T0001_S003",1,3,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4359
"T0001_S003_R001","T0001_S003",1,3,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4392
"T0001_S004_R000","T0001_S004",1,4,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4057
"T0001_S004_R001","T0001_S004",1,4,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4204
"T0001_S005_R000","T0001_S005",1,5,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4237
"T0001_S005_R001","T0001_S005",1,5,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4250
"T0001_S006_R000","T0001_S006",1,6,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4002
"T0001_S006_R001","T0001_S006",1,6,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4112
"T0001_S007_R000","T0001_S007",1,7,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4007
"T0001_S007_R001","T0001_S007",1,7,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4223
"T0001_S008_R000","T0001_S008",1,8,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4730
"T0001_S008_R001","T0001_S008",1,8,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4669
"T0001_S009_R000","T0001_S009",1,9,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4741
"T0001_S009_R001","T0001_S009",1,9,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4699
