overall_rank,parameter,current_status,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,overall_biological_priority_score,weighting_rule
1,"divProbMP","fixed",0.493859453360,0.0198602327734,0.409817957835,0.853517640980,0.544156377029,0.583602150538,0.484135635419,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
2,"endothelialMacrophageRadius","hard-coded",0.144229851445,0.452260087983,0.283288687100,0.171448362002,0.578729926928,0.477956989247,0.351318984118,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
3,"pOffMax","ABC-inferred",0.738490645317,0.752373949177,0.218115769820,0.0945718606959,0.0660560478791,0.172697368421,0.340384273552,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
4,"divProbMN","fixed",0.305904784298,0.0342667779448,0.562992048777,0.422632094230,0.151570471597,0.533602150538,0.335161387898,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
5,"divProbFN","fixed",0.244290799193,0.0389013719536,0.901284797063,0.165073063699,0.0834682063501,0.539516129032,0.328755727882,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
6,"stressStrength","fixed",0.408549510930,0.278806608448,0.286858060690,0.104586165020,0.301580093981,0.493548387097,0.312321471028,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
7,"pOnMax","ABC-inferred",0.268026619280,0.432250772241,0.149479428544,0.0688328669402,0.146351553817,0.705592105263,0.295088891014,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
8,"initialMacrophageCount","hard-coded",0.306668025668,0.339084902384,0.0958536428134,0.0985686909578,0.130839773772,0.561559139785,0.255429029230,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
9,"dieProbEN","fixed",0.115993976915,0.0823213455523,0.0816972409178,0.0963736496127,0.545758398994,0.601973684211,0.254019716034,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
10,"divProbP","ABC-inferred",0.614860363977,0.191264296354,0.0814709557057,0.0925847568921,0.249237266347,0.206989247312,0.239401147765,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
