output,output_family,parameter,screened,current_status,classification,classification_reason,mu_star,sigma,n_valid,n_lost,mean_snr,mu_star_q25,mu_star_median,mu_star_q75,sigma_q25,sigma_median,sigma_q75
"abc_target_01_jnkp_s480_standardized_residual","jnk","netN",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.644660902684,0.858267276514,8,2,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbN",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.592909458710,0.641287439806,7,3,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOnMax",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.569544862350,0.574525593608,8,2,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOffMax",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",1.87011243308,1.38712822501,9,1,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbP",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.223355082877,0.322053070793,8,2,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbP",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.254157685902,0.309736895193,8,2,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","cafDivBoost",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.521209465946,1.06243697834,10,0,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","ecSurvival",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.767432226943,1.33829317881,10,0,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbF",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.664147943779,1.29749315990,9,1,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFP",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",1.06516082001,2.28069520570,10,0,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbM",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.380296566303,0.505491855207,8,2,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbE",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.710548553970,0.724237954689,9,1,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","recruitBias",true,"fixed","D","mu-star and sigma at/below output medians",0.398001883123,0.471404492128,9,1,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaCAF",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",1.32108884501,2.05689801020,10,0,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","stressStrength",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",2.93458792731,2.07039320268,10,0,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaStress",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",3.51018022637,2.57729216747,8,2,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbP",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",1.94338481698,3.25566552959,8,2,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbN",true,"fixed","C","intermediate mu-star with above-median variability",0.817528046346,1.02239725260,8,2,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFN",true,"fixed","D","mu-star and sigma at/below output medians",0.444183971009,0.715263756738,10,0,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbFN",true,"fixed","C","intermediate mu-star with above-median variability",0.697571598093,1.20586342973,9,1,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbFP",true,"fixed","D","mu-star and sigma at/below output medians",0.480955957567,0.692261212788,10,0,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbMN",true,"fixed","D","mu-star and sigma at/below output medians",0.290326583894,0.477672505805,9,1,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbMN",true,"fixed","C","intermediate mu-star with above-median variability",0.722558362384,1.20078174415,10,0,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbMP",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",1.47261414210,1.87133743960,8,2,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbMP",true,"fixed","C","intermediate mu-star with above-median variability",0.960181375323,1.25540372903,7,3,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbM",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",1.23565244622,1.42397575183,9,1,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbEN",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",1.23592575585,1.96871596730,9,1,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbEP",true,"fixed","C","intermediate mu-star with above-median variability",0.753484312078,1.29395091613,9,1,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbEP",true,"fixed","D","mu-star and sigma at/below output medians",0.426223327712,0.471907686875,10,0,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","deactProbE",true,"fixed","D","mu-star and sigma at/below output medians",0.424664141796,0.772812265472,8,2,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbL",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",1.00309635428,1.37817297385,9,1,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageDaughterActivationBoost",true,"hard-coded","C","sigma at/above output Q75 while mu-star below Q75",0.778095145029,1.59366891235,9,1,,0.444183971009,0.697571598093,1.00309635428,0.692261212788,1.06243697834,1.38712822501
