outcome,rank_in_outcome,parameter,n_event,n_no_event,rank_biserial_effect,direction,point_biserial_correlation,normalized_mean_difference,univariate_logistic_coefficient,permutation_p_value,current_status,fixed_or_inferred,in_abc12,baseline_value,lower_bound,upper_bound
EC_POPULATION_ZERO,1,dieProbEP,195,265,0.50358974359,higher-value -> more likely event,0.452558477591,0.277677793904,3.68698922899,0.00497512437811,fixed,fixed,False,0.008,0.001,0.02
EC_POPULATION_ZERO,2,dieProbEN,195,265,0.469143686502,higher-value -> more likely event,0.408836470035,0.250624092888,3.17742572906,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
EC_POPULATION_ZERO,3,activProbE,195,265,-0.270188679245,higher-value -> less likely event,-0.245051820978,-0.150091920658,-1.68412063549,0.00497512437811,ABC-inferred,inferred,True,0.0594775137265,0.005,0.08
EC_POPULATION_ZERO,4,dieProbMN,195,265,-0.249966134494,higher-value -> less likely event,-0.194361040493,-0.138229317852,-1.16243498855,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
EC_POPULATION_ZERO,5,fibroblastSignalCap,195,265,-0.225447508466,higher-value -> less likely event,-0.18388285083,-0.112743105951,-1.25787215043,0.00497512437811,hard-coded,fixed,False,10.0,5.0,15.0
EC_POPULATION_ZERO,6,fibroblastSignalBoost,195,265,-0.197832607644,higher-value -> less likely event,-0.183156163585,-0.120193517175,-1.16761209126,0.00497512437811,hard-coded,fixed,False,0.02,0.005,0.04
EC_POPULATION_ZERO,7,dieProbL,195,265,0.189975810353,higher-value -> more likely event,0.179124403032,0.128630865989,1.03586614941,0.00497512437811,fixed,fixed,False,0.002,0.0005,0.01
EC_POPULATION_ZERO,8,divProbEP,195,265,-0.184325108853,higher-value -> less likely event,-0.153733879333,-0.0986744073537,-0.999970076787,0.00497512437811,fixed,fixed,False,0.0087,0.001,0.02
EC_POPULATION_ZERO,9,dieProbN,195,265,-0.162109337204,higher-value -> less likely event,-0.109962458805,-0.0750653120464,-0.666598075569,0.0199004975124,ABC-inferred,inferred,True,0.0185745166581,0.008,0.025
EC_POPULATION_ZERO,10,migrProbN,195,265,-0.149472665699,higher-value -> less likely event,-0.102669103468,-0.0674213836478,-0.640710793803,0.0248756218905,fixed,fixed,False,0.01,0.0,0.1
EC_POPULATION_ZERO,11,fibroblastTumorRadius,195,265,0.145699080793,higher-value -> more likely event,0.145708942,0.108214804064,0.811462616959,0.00497512437811,hard-coded,fixed,False,3.5,1.5,5.5
EC_POPULATION_ZERO,12,divProbFN,195,265,-0.12412191582,higher-value -> less likely event,-0.0821921814766,-0.0444702467344,-0.621081559099,0.0995024875622,fixed,fixed,False,0.0,0.0,0.01
EC_POPULATION_ZERO,13,endothelialMacrophageRadius,195,265,0.122341557813,higher-value -> more likely event,0.0924195473588,0.0636284470247,0.549243975724,0.0547263681592,hard-coded,fixed,False,1.5,1.0,3.5
EC_POPULATION_ZERO,14,initialLungCount,195,265,0.118084179971,higher-value -> more likely event,0.0935395001316,0.0633768746976,0.568397678335,0.0497512437811,hard-coded,fixed,False,1225.0,613.0,1838.0
EC_POPULATION_ZERO,15,activProbF,195,265,-0.114136429608,higher-value -> less likely event,-0.11893466649,-0.092404450895,-0.635133921876,0.0298507462687,ABC-inferred,inferred,True,0.0235917824107,0.001,0.05
FIBROBLAST_POPULATION_ZERO,1,stressStrength,16,444,-0.891891891892,higher-value -> less likely event,-0.328183243743,-0.581081081081,-100.784680004,0.00497512437811,fixed,fixed,False,1.5,0.0,3.0
FIBROBLAST_POPULATION_ZERO,2,dieProbFN,16,444,0.856981981982,higher-value -> more likely event,0.290084063032,0.525225225225,11.871952064,0.00497512437811,fixed,fixed,False,0.008,0.001,0.008
FIBROBLAST_POPULATION_ZERO,3,dieProbEN,16,444,0.804898648649,higher-value -> more likely event,0.276535641311,0.457207207207,11.39591583,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
FIBROBLAST_POPULATION_ZERO,4,fibroblastTumorRadius,16,444,-0.800394144144,higher-value -> less likely event,-0.252431841961,-0.505630630631,-10.0215601759,0.00497512437811,hard-coded,fixed,False,3.5,1.5,5.5
FIBROBLAST_POPULATION_ZERO,5,fibroblastSignalCap,16,444,-0.789132882883,higher-value -> less likely event,-0.266000063396,-0.439864864865,-9.95157927166,0.00497512437811,hard-coded,fixed,False,10.0,5.0,15.0
FIBROBLAST_POPULATION_ZERO,6,migrProbP,16,444,0.783783783784,higher-value -> more likely event,0.225844058084,0.452702702703,103.628515088,0.00497512437811,fixed,fixed,False,0.1,0.0,0.3
FIBROBLAST_POPULATION_ZERO,7,dieProbL,16,444,0.759009009009,higher-value -> more likely event,0.254090991247,0.492117117117,6.70554981121,0.00497512437811,fixed,fixed,False,0.002,0.0005,0.01
FIBROBLAST_POPULATION_ZERO,8,initialLungCount,16,444,0.759009009009,higher-value -> more likely event,0.24144984188,0.441216216216,10.5445377816,0.00497512437811,hard-coded,fixed,False,1225.0,613.0,1838.0
FIBROBLAST_POPULATION_ZERO,9,divProbFN,16,444,-0.752252252252,higher-value -> less likely event,-0.219168217861,-0.31981981982,-5.11705650776,0.00497512437811,fixed,fixed,False,0.0,0.0,0.01
FIBROBLAST_POPULATION_ZERO,10,fibroblastSignalBoost,16,444,-0.739864864865,higher-value -> less likely event,-0.263795911302,-0.466891891892,-6.90358491562,0.00497512437811,hard-coded,fixed,False,0.02,0.005,0.04
FIBROBLAST_POPULATION_ZERO,11,ecSurvival,16,444,0.737612612613,higher-value -> more likely event,0.268570439734,0.49009009009,6.31883484049,0.00497512437811,ABC-inferred,inferred,True,0.0509998219712,0.0,0.3
FIBROBLAST_POPULATION_ZERO,12,divProbMN,16,444,0.716779279279,higher-value -> more likely event,0.26353488962,0.496734234234,5.22349491641,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
FIBROBLAST_POPULATION_ZERO,13,deactProbE,16,444,-0.679617117117,higher-value -> less likely event,-0.219844772461,-0.445045045045,-5.93279595343,0.00497512437811,fixed,fixed,False,0.01,0.0,0.05
FIBROBLAST_POPULATION_ZERO,14,activProbE,16,444,-0.661317567568,higher-value -> less likely event,-0.237234655146,-0.391891891892,-5.61683072153,0.00497512437811,ABC-inferred,inferred,True,0.0594775137265,0.005,0.08
FIBROBLAST_POPULATION_ZERO,15,lambdaStress,16,444,0.642454954955,higher-value -> more likely event,0.212863170917,0.462387387387,4.70460081421,0.00497512437811,fixed,fixed,False,2.0,0.5,5.0
GENERAL_INVALID,1,dieProbEN,289,171,0.369068576863,higher-value -> more likely event,0.303468519015,0.190230478156,2.15918852624,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
GENERAL_INVALID,2,cafDivBoost,289,171,0.28001375989,higher-value -> more likely event,0.230724566804,0.156935591574,1.50963293904,0.00497512437811,ABC-inferred,inferred,True,0.427609468482,0.0,1.0
GENERAL_INVALID,3,clusterRadius,289,171,-0.217831198527,higher-value -> less likely event,-0.186702735341,-0.129334871203,-1.16655302893,0.00497512437811,fixed,fixed,False,4.0,2.0,8.0
GENERAL_INVALID,4,migrProbP,289,171,0.207571986483,higher-value -> more likely event,0.157755853729,0.119893158502,0.890734780608,0.00497512437811,fixed,fixed,False,0.1,0.0,0.3
GENERAL_INVALID,5,endothelialDaughterDivisionBoost,289,171,-0.186750035411,higher-value -> less likely event,-0.158525200652,-0.103721240818,-1.05311362818,0.00497512437811,hard-coded,fixed,False,0.001,0.00025,0.002
GENERAL_INVALID,6,dieProbP,289,171,0.174244723689,higher-value -> more likely event,0.156056934258,0.112005503956,0.948802429493,0.00497512437811,ABC-inferred,inferred,True,0.00306108452805,0.001,0.004
GENERAL_INVALID,7,dieProbEP,289,171,0.168214654283,higher-value -> more likely event,0.159030834466,0.0997794370586,1.08833927407,0.00497512437811,fixed,fixed,False,0.008,0.001,0.02
GENERAL_INVALID,8,endothelialMacrophageRadius,289,171,0.163317752282,higher-value -> more likely event,0.140631548263,0.0990064550072,0.885966160179,0.00995024875622,hard-coded,fixed,False,1.5,1.0,3.5
GENERAL_INVALID,9,dieProbL,289,171,0.160221777049,higher-value -> more likely event,0.133731167053,0.0982010967442,0.793787602223,0.00497512437811,fixed,fixed,False,0.002,0.0005,0.01
GENERAL_INVALID,10,lambdaCAF,289,171,-0.157368623404,higher-value -> less likely event,-0.139485757391,-0.0923814727129,-0.903309735749,0.00995024875622,fixed,fixed,False,2.0,0.5,5.0
GENERAL_INVALID,11,migrProbM,289,171,0.156356866792,higher-value -> more likely event,0.156912781075,0.113644549667,0.934887598757,0.00497512437811,fixed,fixed,False,0.8,0.1,0.85
GENERAL_INVALID,12,dieProbMN,289,171,-0.151298083733,higher-value -> less likely event,-0.129465747698,-0.0941540702968,-0.759032018778,0.00995024875622,fixed,fixed,False,0.005,0.001,0.01
GENERAL_INVALID,13,divProbEP,289,171,-0.150488678444,higher-value -> less likely event,-0.101622855853,-0.0666990428782,-0.664545231911,0.0547263681592,fixed,fixed,False,0.0087,0.001,0.02
GENERAL_INVALID,14,recruitBias,289,171,0.150266091989,higher-value -> more likely event,0.126542622947,0.0852991764301,0.815931124171,0.0149253731343,fixed,fixed,False,0.04,0.0,0.2
GENERAL_INVALID,15,activProbF,289,171,-0.137275137093,higher-value -> less likely event,-0.100743899809,-0.0800380420486,-0.5417386767,0.0497512437811,ABC-inferred,inferred,True,0.0235917824107,0.001,0.05
MACROPHAGE_POPULATION_ZERO,1,dieProbMP,14,446,0.685938500961,higher-value -> more likely event,0.217713449466,0.374503523382,4.95745006616,0.00497512437811,fixed,fixed,False,0.015,0.001,0.03
MACROPHAGE_POPULATION_ZERO,2,activProbF,14,446,-0.584881486227,higher-value -> less likely event,-0.167700349634,-0.374823830878,-5.13852562155,0.00497512437811,ABC-inferred,inferred,True,0.0235917824107,0.001,0.05
MACROPHAGE_POPULATION_ZERO,3,initialJnkPositiveTenths,14,446,0.562780269058,higher-value -> more likely event,0.192531763223,0.319090326714,4.01987881506,0.00497512437811,hard-coded,fixed,False,9.0,5.0,10.0
MACROPHAGE_POPULATION_ZERO,4,endothelialDaughterDivisionBoost,14,446,0.544843049327,higher-value -> more likely event,0.172029444113,0.31665598975,4.67749468745,0.00497512437811,hard-coded,fixed,False,0.001,0.00025,0.002
MACROPHAGE_POPULATION_ZERO,5,divProbMP,14,446,-0.511691223575,higher-value -> less likely event,-0.160537921846,-0.346380525304,-2.86761026759,0.00497512437811,fixed,fixed,False,0.01575,0.001,0.03
MACROPHAGE_POPULATION_ZERO,6,divProbFP,14,446,-0.456438180653,higher-value -> less likely event,-0.128985372061,-0.235490070468,-3.04393499091,0.0248756218905,ABC-inferred,inferred,True,0.0298057467647,0.018,0.038
MACROPHAGE_POPULATION_ZERO,7,recruitBias,14,446,0.451153106983,higher-value -> more likely event,0.143603381528,0.272325432415,2.86297291588,0.00497512437811,fixed,fixed,False,0.04,0.0,0.2
MACROPHAGE_POPULATION_ZERO,8,activProbE,14,446,-0.431934657271,higher-value -> less likely event,-0.129431182347,-0.228058936579,-2.53916587858,0.00995024875622,ABC-inferred,inferred,True,0.0594775137265,0.005,0.08
MACROPHAGE_POPULATION_ZERO,9,clusterRadius,14,446,0.425688661115,higher-value -> more likely event,0.137927890131,0.268802049968,2.59733804939,0.00497512437811,fixed,fixed,False,4.0,2.0,8.0
MACROPHAGE_POPULATION_ZERO,10,dieProbEN,14,446,0.390294682896,higher-value -> more likely event,0.0993510460161,0.175208199872,2.21471225951,0.0398009950249,fixed,fixed,False,0.005,0.001,0.01
MACROPHAGE_POPULATION_ZERO,11,deactProbE,14,446,0.335041639974,higher-value -> more likely event,0.105291967305,0.22735426009,1.89518601136,0.0298507462687,fixed,fixed,False,0.01,0.0,0.05
MACROPHAGE_POPULATION_ZERO,12,divProbFN,14,446,-0.303010890455,higher-value -> less likely event,-0.0909581342409,-0.141575912876,-1.90107955009,0.0597014925373,fixed,fixed,False,0.0,0.0,0.01
MACROPHAGE_POPULATION_ZERO,13,macrophageDaughterActivationBoost,14,446,0.274983984625,higher-value -> more likely event,0.0646484858479,0.122165278668,1.16671401531,0.174129353234,hard-coded,fixed,False,0.008,0.002,0.016
MACROPHAGE_POPULATION_ZERO,14,fibroblastSignalCap,14,446,-0.247277386291,higher-value -> less likely event,-0.070750332831,-0.124791800128,-1.38922417175,0.139303482587,hard-coded,fixed,False,10.0,5.0,15.0
MACROPHAGE_POPULATION_ZERO,15,dieProbP,14,446,0.232383087764,higher-value -> more likely event,0.0671972081617,0.135682254965,1.15045867218,0.134328358209,ABC-inferred,inferred,True,0.00306108452805,0.001,0.004
TUMOR_EXTINCT,1,clusterRadius,158,302,-0.391000922123,higher-value -> less likely event,-0.309735103767,-0.218358621846,-2.13825714726,0.00497512437811,fixed,fixed,False,4.0,2.0,8.0
TUMOR_EXTINCT,2,fibroblastTumorRadius,158,302,-0.390078799564,higher-value -> less likely event,-0.332551883231,-0.257020705843,-2.10479025514,0.00497512437811,hard-coded,fixed,False,3.5,1.5,5.5
TUMOR_EXTINCT,3,dieProbP,158,302,0.37798641965,higher-value -> more likely event,0.324865212716,0.237287283092,2.11503897961,0.00497512437811,ABC-inferred,inferred,True,0.00306108452805,0.001,0.004
