parameter,biological_category,current_status,fixed_or_inferred,in_abc12,baseline,lower_bound,upper_bound,overall_rank,overall_priority_score,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,peak_class,peak_class_meaning,n_bio_outputs,n_outputs_class_A,n_outputs_class_B,n_bio_outputs_top5,n_bio_outputs_top10,frac_bio_outputs_top10,frac_bio_outputs_classAB,max_normalized_mu_star,median_sigma_to_mustar,mean_valid_fraction,strongest_failure_outcome,strongest_failure_rank_biserial,top_affected_bio_outputs,classification
dieProbMP,macrophage,fixed,fixed,False,0.015,0.001,0.03,1,0.57239147618,0.570707109725,0.528521433573,0.556804685728,0.580213163037,0.512163964053,0.685938500961,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,86,50,67,0.5929203539823009,0.7610619469026548,1.8947961207,1.31169988241105,0.8469026548672567,MACROPHAGE_POPULATION_ZERO,0.685938500961,tumor_radius_s480;abc_target_08_tumor_s480_stat;abc_target_08_tumor_s480_standardized_residual,HIGH_INFLUENCE
divProbMP,macrophage,fixed,fixed,False,0.01575,0.001,0.03,2,0.524212917911,0.545306450258,0.314092108358,0.415061515225,0.812038137905,0.547088072144,0.511691223575,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,101,45,65,0.5752212389380531,0.8938053097345132,1.59739296834,1.1284440719332685,0.8831858407079647,MACROPHAGE_POPULATION_ZERO,-0.511691223575,active_macrophage_ec_colocalization_s1440;ec_activated_fraction_s1440;abc_target_05_ec_s1440_standardized_residual,HIGH_INFLUENCE
stressStrength,jnk,fixed,fixed,False,1.5,0.0,3.0,3,0.455854142255,0.449369443522,0.650636860665,0.222857018076,0.22439730661,0.295972332765,0.891891891892,A,"high mu*, low sigma: strong near-linear/additive effect",113,1,74,23,35,0.30973451327433627,0.6637168141592921,1.64825842503,1.1891556517150021,0.9283185840707965,FIBROBLAST_POPULATION_ZERO,-0.891891891892,abc_target_01_jnkp_s480_standardized_residual;abc_target_01_jnkp_s480_stat;jnkp_fraction_s480,HIGH_INFLUENCE
divProbFN,fibroblast,fixed,fixed,False,0.0,0.0,0.01,4,0.42196868538,0.24075203706,0.202238717368,0.929376198005,0.169505051984,0.237687855611,0.752252252252,A,"high mu*, low sigma: strong near-linear/additive effect",113,1,59,19,26,0.23008849557522124,0.5309734513274337,2.92462196178,0.8542390313540678,0.9283185840707965,FIBROBLAST_POPULATION_ZERO,-0.752252252252,cumulative_fibroblast_divisions_s480;fibroblast_log10_fold_s480;cumulative_fibroblast_deaths_s480,HIGH_INFLUENCE
divProbMN,macrophage,fixed,fixed,False,0.005,0.001,0.01,5,0.420296208183,0.283611708064,0.294044977046,0.350549192722,0.554325168252,0.322466923732,0.716779279279,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,73,16,43,0.3805309734513274,0.6460176991150443,1.37073649539,1.4235557492192945,0.8734513274336285,FIBROBLAST_POPULATION_ZERO,0.716779279279,jnkp_fraction_s960;cumulative_macrophage_divisions_s480;tumor_radius_s1440,HIGH_INFLUENCE
lambdaStress,jnk,fixed,fixed,False,2.0,0.5,5.0,6,0.419700835185,0.526756762195,0.774176904485,0.168465684237,0.0782929112042,0.328057794034,0.642454954955,A,"high mu*, low sigma: strong near-linear/additive effect",113,1,61,24,31,0.2743362831858407,0.5486725663716814,1.9715490811,1.0820573500157127,0.8716814159292036,FIBROBLAST_POPULATION_ZERO,0.642454954955,abc_target_01_jnkp_s480_standardized_residual;jnkp_fraction_s480;abc_target_01_jnkp_s480_stat,HIGH_INFLUENCE
dieProbFN,fibroblast,fixed,fixed,False,0.008,0.001,0.008,7,0.379462005581,0.236743810886,0.192186158433,0.658534337272,0.116284908065,0.216040836849,0.856981981982,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,63,19,55,0.48672566371681414,0.5575221238938053,1.64002554495,1.28666679246342,0.9274336283185842,FIBROBLAST_POPULATION_ZERO,0.856981981982,fibroblast_log10_fold_s960;fibroblast_fold_change_s480;fibroblast_total_s480,HIGH_INFLUENCE
dieProbMN,macrophage,fixed,fixed,False,0.005,0.001,0.01,8,0.370441847487,0.323907599301,0.130492253682,0.493137630551,0.501894068931,0.220854667594,0.552364864865,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,70,23,36,0.3185840707964602,0.6194690265486725,1.16705763282,1.2379812084125938,0.9292035398230089,FIBROBLAST_POPULATION_ZERO,-0.552364864865,cumulative_fibroblast_divisions_s1440;abc_target_06_mac_s1440_stat;macrophage_activated_fraction_s1440,HIGH_INFLUENCE
dieProbL,lung,fixed,fixed,False,0.002,0.0005,0.01,9,0.364384416297,0.274418988019,0.562737461862,0.249481658811,0.1045486079,0.236110772181,0.759009009009,A,"high mu*, low sigma: strong near-linear/additive effect",113,3,55,4,15,0.13274336283185842,0.5132743362831859,1.58114765196,1.1560551892224318,0.9008849557522124,FIBROBLAST_POPULATION_ZERO,0.759009009009,abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat;jnkp_fraction_s1440,HIGH_INFLUENCE
dieProbEN,endothelial,fixed,fixed,False,0.005,0.001,0.01,10,0.349050715232,0.249849318368,0.298888206129,0.186978975129,0.25438943497,0.29929970815,0.804898648649,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,52,5,48,0.4247787610619469,0.46017699115044247,2.41023653984,1.5929079542067868,0.915929203539823,FIBROBLAST_POPULATION_ZERO,0.804898648649,cumulative_ec_deaths_s480;active_macrophage_ec_colocalization_s960;active_macrophage_ec_colocalization_s480,HIGH_INFLUENCE
