output,output_family,rank_in_output,parameter,mu_signed,mu_star,sigma,sigma_to_mustar,n_valid_ee,valid_fraction,n_lost,lost_fraction,mean_snr,normalized_mu_star,positive_fraction,negative_fraction,effect_character,current_status,fixed_or_inferred,in_abc12
abc_target_01_jnkp_s480_standardized_residual,jnk,1,lambdaStress,3.51018022637,3.51018022637,2.57729216747,0.7342335724269257,8,0.8,2,0.19999999999999996,,1.9715490811,0.875,0.0,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,2,stressStrength,2.84569903842,2.93458792731,2.07039320268,0.7055141144050957,10,1.0,0,0.0,,1.64825842503,0.9,0.1,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,3,migrProbP,0.406106881816,1.94338481698,3.25566552959,1.6752552048076976,8,0.8,2,0.19999999999999996,,1.09153328406,0.5,0.375,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,4,pOffMax,-1.87011243308,1.87011243308,1.38712822501,0.7417352029072688,9,0.9,1,0.09999999999999998,,1.05037867324,0.0,1.0,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_01_jnkp_s480_standardized_residual,jnk,5,divProbMP,-0.77433445287,1.4726141421,1.8713374396,1.2707588404192605,8,0.8,2,0.19999999999999996,,0.82711737616,0.25,0.75,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,6,lambdaCAF,1.23862964992,1.32108884501,2.0568980102,1.5569717494544661,10,1.0,0,0.0,,0.742010760263,0.5,0.1,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,7,dieProbEN,0.0798458669371,1.23592575585,1.9687159673,1.592907954204764,9,0.9,1,0.09999999999999998,,0.694177543921,0.333333333333,0.555555555556,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,8,migrProbM,1.10318573701,1.23565244622,1.42397575183,1.1524079899538922,9,0.9,1,0.09999999999999998,,0.694024035179,0.666666666667,0.333333333333,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,9,initialLungCount,1.16801645548,1.19326898074,1.70708012446,1.430591217917491,9,0.9,1,0.09999999999999998,,0.67021868131,0.888888888889,0.111111111111,strong nonlinearity/interaction-dependent,hard-coded,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,10,divProbFP,-0.667966166415,1.06516082001,2.2806952057,2.141174518302868,10,1.0,0,0.0,,0.598264676026,0.4,0.4,strong nonlinearity/interaction-dependent; sign-varying,ABC-inferred,inferred,True
abc_target_01_jnkp_s480_stat,jnk,1,lambdaStress,0.702036045274,0.702036045274,0.515458433495,0.7342335724283502,8,0.8,2,0.19999999999999996,,1.9715490811,0.875,0.0,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,2,stressStrength,0.569139807684,0.586917585461,0.414078640536,0.7055141144062977,10,1.0,0,0.0,,1.64825842503,0.9,0.1,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,3,migrProbP,0.0812213763632,0.388676963396,0.651133105918,1.6752552048076976,8,0.8,2,0.19999999999999996,,1.09153328406,0.5,0.375,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,4,pOffMax,-0.374022486617,0.374022486617,0.277425645003,0.7417352029079594,9,0.9,1,0.09999999999999998,,1.05037867324,0.0,1.0,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_01_jnkp_s480_stat,jnk,5,divProbMP,-0.154866890574,0.294522828421,0.374267487919,1.2707588404115504,8,0.8,2,0.19999999999999996,,0.82711737616,0.25,0.75,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,6,lambdaCAF,0.247725929984,0.264217769001,0.41137960204,1.556971749460359,10,1.0,0,0.0,,0.742010760263,0.5,0.1,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,7,dieProbEN,0.0159691733874,0.24718515117,0.393743193461,1.5929079542088094,9,0.9,1,0.09999999999999998,,0.694177543921,0.333333333333,0.555555555556,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
