output_family,output_name,rows,valid,invalid
abc,maximum_absolute_standardized_residual,460,171,289
abc,total_abc_distance,460,171,289
endothelial,abc_target_03_ec_s480_standardized_residual,460,456,4
endothelial,abc_target_03_ec_s480_stat,460,456,4
endothelial,abc_target_04_ec_s960_standardized_residual,460,387,73
endothelial,abc_target_04_ec_s960_stat,460,387,73
endothelial,abc_target_05_ec_s1440_standardized_residual,460,265,195
endothelial,abc_target_05_ec_s1440_stat,460,265,195
endothelial,cumulative_ec_deaths_s0,460,460,0
endothelial,cumulative_ec_deaths_s1440,460,460,0
endothelial,cumulative_ec_deaths_s480,460,460,0
endothelial,cumulative_ec_deaths_s960,460,460,0
endothelial,cumulative_ec_divisions_s0,460,460,0
endothelial,cumulative_ec_divisions_s1440,460,460,0
endothelial,cumulative_ec_divisions_s480,460,460,0
endothelial,cumulative_ec_divisions_s960,460,460,0
endothelial,ec_activated_fraction_s0,460,460,0
endothelial,ec_activated_fraction_s1440,460,265,195
endothelial,ec_activated_fraction_s480,460,456,4
endothelial,ec_activated_fraction_s960,460,387,73
failure,ec_population_zero_status,460,460,0
failure,fibroblast_population_zero_status,460,460,0
failure,invalid_denominator_status,460,460,0
failure,macrophage_population_zero_status,460,460,0
failure,overall_error_status,460,460,0
failure,overall_finite_status,460,460,0
failure,overall_invalid_status,460,460,0
failure,tumor_extinction_status,460,460,0
fibroblast,abc_target_07_fibro_s1440_standardized_residual,460,444,16
fibroblast,abc_target_07_fibro_s1440_stat,460,444,16
fibroblast,cumulative_fibroblast_deaths_s0,460,460,0
fibroblast,cumulative_fibroblast_deaths_s1440,460,460,0
fibroblast,cumulative_fibroblast_deaths_s480,460,460,0
fibroblast,cumulative_fibroblast_deaths_s960,460,460,0
fibroblast,cumulative_fibroblast_divisions_s0,460,460,0
fibroblast,cumulative_fibroblast_divisions_s1440,460,460,0
fibroblast,cumulative_fibroblast_divisions_s480,460,460,0
fibroblast,cumulative_fibroblast_divisions_s960,460,460,0
fibroblast,fibroblast_fold_change_s0,460,460,0
fibroblast,fibroblast_fold_change_s1440,460,460,0
fibroblast,fibroblast_fold_change_s480,460,460,0
fibroblast,fibroblast_fold_change_s960,460,460,0
fibroblast,fibroblast_log10_fold_s0,460,460,0
fibroblast,fibroblast_log10_fold_s1440,460,444,16
fibroblast,fibroblast_log10_fold_s480,460,460,0
fibroblast,fibroblast_log10_fold_s960,460,446,14
fibroblast,fibroblast_total_s0,460,460,0
fibroblast,fibroblast_total_s1440,460,460,0
fibroblast,fibroblast_total_s480,460,460,0
fibroblast,fibroblast_total_s960,460,460,0
fibroblast,temporal_fibroblast_tumor_correlation,460,460,0
jnk,abc_target_01_jnkp_s480_standardized_residual,460,429,31
jnk,abc_target_01_jnkp_s480_stat,460,429,31
jnk,abc_target_02_jnkp_s1440_standardized_residual,460,302,158
