sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,status,flags,error_class,error_message,runtime_ms
"T0000_S002_R000","T0000_S002",0,2,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4346
"T0000_S003_R000","T0000_S003",0,3,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4497
"T0000_S004_R000","T0000_S004",0,4,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",8351
"T0000_S005_R000","T0000_S005",0,5,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",8308
"T0000_S007_R000","T0000_S007",0,7,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",8081
"T0000_S008_R000","T0000_S008",0,8,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",8608
"T0000_S009_R000","T0000_S009",0,9,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",8606
"T0000_S010_R000","T0000_S010",0,10,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",8964
"T0000_S014_R000","T0000_S014",0,14,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",10360
"T0000_S017_R000","T0000_S017",0,17,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",11474
"T0000_S019_R000","T0000_S019",0,19,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",11609
"T0000_S020_R000","T0000_S020",0,20,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",11824
"T0000_S021_R000","T0000_S021",0,21,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",12381
