overall_rank,parameter,current_status,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,overall_biological_priority_score,weighting_rule
1,"dieProbMP","fixed",0.570707109725,0.528521433573,0.556804685728,0.580213163037,0.512163964053,0.685938500961,0.572391476180,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
2,"divProbMP","fixed",0.545306450258,0.314092108358,0.415061515225,0.812038137905,0.547088072144,0.511691223575,0.524212917911,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
3,"stressStrength","fixed",0.449369443522,0.650636860665,0.222857018076,0.224397306610,0.295972332765,0.891891891892,0.455854142255,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
4,"divProbFN","fixed",0.240752037060,0.202238717368,0.929376198005,0.169505051984,0.237687855611,0.752252252252,0.421968685380,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
5,"divProbMN","fixed",0.283611708064,0.294044977046,0.350549192722,0.554325168252,0.322466923732,0.716779279279,0.420296208183,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
6,"lambdaStress","fixed",0.526756762195,0.774176904485,0.168465684237,0.0782929112042,0.328057794034,0.642454954955,0.419700835185,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
7,"dieProbFN","fixed",0.236743810886,0.192186158433,0.658534337272,0.116284908065,0.216040836849,0.856981981982,0.379462005581,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
8,"dieProbMN","fixed",0.323907599301,0.130492253682,0.493137630551,0.501894068931,0.220854667594,0.552364864865,0.370441847487,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
9,"dieProbL","fixed",0.274418988019,0.562737461862,0.249481658811,0.104548607900,0.236110772181,0.759009009009,0.364384416297,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
10,"dieProbEN","fixed",0.249849318368,0.298888206129,0.186978975129,0.254389434970,0.299299708150,0.804898648649,0.349050715232,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
