output,output_family,parameter,screened,current_status,classification,classification_reason,mu_star,sigma,n_valid,n_lost,mean_snr,mu_star_q25,mu_star_median,mu_star_q75,sigma_q25,sigma_median,sigma_q75
"abc_target_01_jnkp_s480_standardized_residual","jnk","netN",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.666928577448,0.845333177318,18,2,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbN",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.424705380537,0.458184836272,15,5,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOnMax",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",1.11788574764,0.961340850317,16,4,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOffMax",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",1.79451168074,1.24383398839,18,2,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbP",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.657854945113,0.992987263868,18,2,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbP",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.295655538394,0.435206675913,18,2,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","cafDivBoost",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.427486747010,0.807367400057,20,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","ecSurvival",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.671308587090,1.20392444141,20,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbF",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.747588247055,1.14291233492,19,1,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFP",true,"ABC-inferred","C","sigma at/above output Q75 while mu-star below Q75",0.660024374588,1.62351240943,20,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbM",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.496025872253,0.664490371082,17,3,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbE",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.684471495181,0.947830252466,19,1,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","recruitBias",true,"fixed","D","mu-star and sigma at/below output medians",0.570922216909,0.795215897329,19,1,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaCAF",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",1.08148883747,1.57786599745,20,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
