outcome,rank_in_outcome,parameter,n_event,n_no_event,rank_biserial_effect,direction,point_biserial_correlation,normalized_mean_difference,univariate_logistic_coefficient,permutation_p_value,current_status,fixed_or_inferred,in_abc12,baseline_value,lower_bound,upper_bound
EC_POPULATION_ZERO,1,dieProbEN,423,497,0.587701147785,higher-value -> more likely event,0.498878075381,0.323748638403,3.86780472763,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
EC_POPULATION_ZERO,2,dieProbEP,423,497,0.42269693813,higher-value -> more likely event,0.389599235305,0.238574710675,2.88393835627,0.00497512437811,fixed,fixed,False,0.008,0.001,0.02
EC_POPULATION_ZERO,3,dieProbL,423,497,0.302443502623,higher-value -> more likely event,0.267427469139,0.180132330627,1.66564412221,0.00497512437811,fixed,fixed,False,0.002,0.0005,0.01
EC_POPULATION_ZERO,4,migrProbP,423,497,0.295008823627,higher-value -> more likely event,0.260561316112,0.184665439445,1.55322571452,0.00497512437811,fixed,fixed,False,0.1,0.0,0.3
EC_POPULATION_ZERO,5,divProbEP,423,497,-0.218269427439,higher-value -> less likely event,-0.177789785587,-0.113653076854,-1.15231136653,0.00497512437811,fixed,fixed,False,0.0087,0.001,0.02
EC_POPULATION_ZERO,6,activProbF,423,497,-0.187641213713,higher-value -> less likely event,-0.17563326134,-0.130151119483,-0.971680396428,0.00497512437811,ABC-inferred,inferred,True,0.0235917824107,0.001,0.05
EC_POPULATION_ZERO,7,pOffMax,423,497,0.168914194386,higher-value -> more likely event,0.152299501735,0.0935047638074,1.01515466516,0.00497512437811,ABC-inferred,inferred,True,0.118802956041,0.01,0.2
EC_POPULATION_ZERO,8,divProbP,423,497,-0.166640504968,higher-value -> less likely event,-0.138917296877,-0.0946178251542,-0.829947212225,0.00497512437811,ABC-inferred,inferred,True,0.00662139775929,0.005,0.03
EC_POPULATION_ZERO,9,ecSurvival,423,497,0.145344882534,higher-value -> more likely event,0.150423004854,0.107133581632,0.86100118757,0.00497512437811,ABC-inferred,inferred,True,0.0509998219712,0.0,0.3
EC_POPULATION_ZERO,10,dieProbN,423,497,-0.145030942154,higher-value -> less likely event,-0.104299494604,-0.0689346480776,-0.64147455119,0.00995024875622,ABC-inferred,inferred,True,0.0185745166581,0.008,0.025
EC_POPULATION_ZERO,11,clusterRadius,423,497,-0.144978618757,higher-value -> less likely event,-0.138706978081,-0.0885654351642,-0.885437718443,0.00497512437811,fixed,fixed,False,4.0,2.0,8.0
EC_POPULATION_ZERO,12,migrProbN,423,497,-0.144726515119,higher-value -> less likely event,-0.110104692517,-0.072548767784,-0.676411808948,0.00497512437811,fixed,fixed,False,0.01,0.0,0.1
EC_POPULATION_ZERO,13,endothelialDaughterDivisionBoost,423,497,-0.139946059335,higher-value -> less likely event,-0.118899690779,-0.0730624884056,-0.785777143353,0.00497512437811,hard-coded,fixed,False,0.001,0.00025,0.002
EC_POPULATION_ZERO,14,initialLungCount,423,497,0.117851315933,higher-value -> more likely event,0.0871054271268,0.0559593970442,0.547602508733,0.0149253731343,hard-coded,fixed,False,1225.0,613.0,1838.0
EC_POPULATION_ZERO,15,migrProbM,423,497,0.107348583225,higher-value -> more likely event,0.103895379755,0.0693998506405,0.630653039854,0.00497512437811,fixed,fixed,False,0.8,0.1,0.85
FIBROBLAST_POPULATION_ZERO,1,dieProbFN,29,891,0.717713533805,higher-value -> more likely event,0.223179310082,0.430481055768,5.74064659014,0.00497512437811,fixed,fixed,False,0.008,0.001,0.008
FIBROBLAST_POPULATION_ZERO,2,dieProbL,29,891,0.675567939936,higher-value -> more likely event,0.209654286399,0.402809706258,5.23080097507,0.00497512437811,fixed,fixed,False,0.002,0.0005,0.01
FIBROBLAST_POPULATION_ZERO,3,divProbFN,29,891,-0.622818220519,higher-value -> less likely event,-0.172710335926,-0.300313479624,-3.96835980519,0.00497512437811,fixed,fixed,False,0.0,0.0,0.01
FIBROBLAST_POPULATION_ZERO,4,initPop,29,891,-0.604822168041,higher-value -> less likely event,-0.191272916217,-0.386973180077,-3.981178367,0.00497512437811,fixed CLI,fixed,False,25.0,10.0,50.0
FIBROBLAST_POPULATION_ZERO,5,dieProbP,29,891,0.567475521499,higher-value -> more likely event,0.182593822078,0.372568597856,3.81459658416,0.00497512437811,ABC-inferred,inferred,True,0.00306108452805,0.001,0.004
FIBROBLAST_POPULATION_ZERO,6,fibroblastSignalBoost,29,891,-0.546925190603,higher-value -> less likely event,-0.188705218858,-0.348844769534,-3.74111446423,0.00497512437811,hard-coded,fixed,False,0.02,0.005,0.04
FIBROBLAST_POPULATION_ZERO,7,migrProbP,29,891,0.506482449011,higher-value -> more likely event,0.151683627073,0.306637253764,3.56358674282,0.00497512437811,fixed,fixed,False,0.1,0.0,0.3
FIBROBLAST_POPULATION_ZERO,8,endothelialDaughterDivisionBoost,29,891,-0.50052246604,higher-value -> less likely event,-0.128594206473,-0.225395719649,-2.6890689677,0.00497512437811,hard-coded,fixed,False,0.001,0.00025,0.002
FIBROBLAST_POPULATION_ZERO,9,initialLungCount,29,891,0.481365377917,higher-value -> more likely event,0.147440243447,0.270180734549,2.82839663575,0.00497512437811,hard-coded,fixed,False,1225.0,613.0,1838.0
