parameter,biological_category,current_status,fixed_or_inferred,in_abc12,baseline,lower_bound,upper_bound,overall_rank,overall_priority_score,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,peak_class,peak_class_meaning,n_bio_outputs,n_outputs_class_A,n_outputs_class_B,n_bio_outputs_top5,n_bio_outputs_top10,frac_bio_outputs_top10,frac_bio_outputs_classAB,max_normalized_mu_star,median_sigma_to_mustar,mean_valid_fraction,strongest_failure_outcome,strongest_failure_rank_biserial,top_affected_bio_outputs,classification
divProbMP,macrophage,fixed,fixed,False,0.01575,0.001,0.03,1,0.516678761519,0.540467330398,0.353548517686,0.42327461028,0.788406267427,0.590640985429,0.403734857893,A,"high mu*, low sigma: strong near-linear/additive effect",113,1,101,44,62,0.5486725663716814,0.9026548672566371,1.44918192291,1.2081567521211127,0.918141592920354,MACROPHAGE_POPULATION_ZERO,-0.403734857893,tumor_rms_spread_s1440;ec_activated_fraction_s1440;abc_target_05_ec_s1440_standardized_residual,HIGH_INFLUENCE
dieProbMP,macrophage,fixed,fixed,False,0.015,0.001,0.03,2,0.497298823778,0.453696363129,0.452534376851,0.496414908565,0.711125705274,0.510156392769,0.359865196078,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,88,46,58,0.5132743362831859,0.7787610619469026,1.72660170739,1.3362884677974056,0.8871681415929203,TUMOR_EXTINCT,-0.359865196078,tumor_log10_fold_s1440;abc_target_10_tumor_s1440_stat;abc_target_10_tumor_s1440_standardized_residual,HIGH_INFLUENCE
divProbFN,fibroblast,fixed,fixed,False,0.0,0.0,0.01,3,0.423818575876,0.22688061785,0.331923410112,0.95159222125,0.146900915829,0.262796069698,0.622818220519,A,"high mu*, low sigma: strong near-linear/additive effect",113,1,55,18,23,0.20353982300884957,0.49557522123893805,2.57424422443,0.7466818466814565,0.9163716814159292,FIBROBLAST_POPULATION_ZERO,-0.622818220519,cumulative_fibroblast_divisions_s480;fibroblast_log10_fold_s480;fibroblast_fold_change_s480,HIGH_INFLUENCE
stressStrength,jnk,fixed,fixed,False,1.5,0.0,3.0,4,0.423152887154,0.487780180931,0.848490449564,0.266266283517,0.201817660135,0.317867056219,0.416695692558,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,82,23,47,0.415929203539823,0.7256637168141593,1.85844525061,1.2571932875739293,0.9146017699115043,FIBROBLAST_POPULATION_ZERO,-0.416695692558,abc_target_01_jnkp_s480_standardized_residual;jnkp_fraction_s480;abc_target_01_jnkp_s480_stat,HIGH_INFLUENCE
divProbMN,macrophage,fixed,fixed,False,0.005,0.001,0.01,5,0.403417674,0.301722617276,0.462064023946,0.332930291812,0.690740917913,0.304197938828,0.328850254223,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,75,18,34,0.3008849557522124,0.6637168141592921,1.26922128425,1.3287189260756502,0.8915929203539823,MACROPHAGE_POPULATION_ZERO,-0.328850254223,cumulative_macrophage_divisions_s480;macrophage_activated_fraction_s960;macrophage_activated_fraction_s1440,HIGH_INFLUENCE
dieProbMN,macrophage,fixed,fixed,False,0.005,0.001,0.01,6,0.386751104145,0.245055989408,0.214574531793,0.427370418888,0.556772133421,0.333398421667,0.543335129689,A,"high mu*, low sigma: strong near-linear/additive effect",113,1,66,18,29,0.25663716814159293,0.5929203539823009,1.13485374312,1.4306485652381022,0.9384955752212389,MACROPHAGE_POPULATION_ZERO,0.543335129689,active_macrophage_ec_colocalization_s480;abc_target_06_mac_s1440_standardized_residual;macrophage_activated_fraction_s1440,HIGH_INFLUENCE
divProbP,tumor,ABC-inferred,inferred,True,0.00662139775929,0.005,0.03,7,0.370747240327,0.86006975011,0.391254368389,0.436406955058,0.121836962625,0.192035263363,0.22288014242,A,"high mu*, low sigma: strong near-linear/additive effect",113,2,78,32,45,0.39823008849557523,0.7079646017699115,1.86780743164,1.4262910629780536,0.9132743362831859,FIBROBLAST_POPULATION_ZERO,-0.22288014242,temporal_fibroblast_tumor_correlation;abc_target_10_tumor_s1440_stat;abc_target_10_tumor_s1440_standardized_residual,HIGH_INFLUENCE
pOffMax,jnk,ABC-inferred,inferred,True,0.118802956041,0.01,0.2,8,0.362177957776,0.482858759988,0.711193091904,0.21841872375,0.18156640347,0.164231433207,0.41479933434,A,"high mu*, low sigma: strong near-linear/additive effect",113,6,63,18,37,0.3274336283185841,0.6106194690265486,1.50682302956,1.1964964544573768,0.9150442477876106,FIBROBLAST_POPULATION_ZERO,0.41479933434,jnkp_fraction_s960;abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat,HIGH_INFLUENCE
dieProbFN,fibroblast,fixed,fixed,False,0.008,0.001,0.008,9,0.350511632722,0.212262797151,0.207413724983,0.638796793674,0.111004131117,0.215878815599,0.717713533805,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,58,19,54,0.4778761061946903,0.5132743362831859,1.54417913749,1.2593182499585367,0.9132743362831858,FIBROBLAST_POPULATION_ZERO,0.717713533805,fibroblast_total_s480;fibroblast_fold_change_s480;fibroblast_log10_fold_s480,HIGH_INFLUENCE
migrProbP,tumor,fixed,fixed,False,0.1,0.0,0.3,10,0.348521796276,0.580657296479,0.426820975105,0.206763156196,0.11379570025,0.256611200616,0.506482449011,A,"high mu*, low sigma: strong near-linear/additive effect",113,3,72,21,39,0.34513274336283184,0.6637168141592921,1.5846637777,1.634184257232514,0.9084070796460177,FIBROBLAST_POPULATION_ZERO,0.506482449011,tumor_rms_spread_s480;tumor_radius_s480;tumor_radius_s960,HIGH_INFLUENCE
