output,output_family,rank_in_output,parameter,mu_signed,mu_star,sigma,sigma_to_mustar,n_valid_ee,valid_fraction,n_lost,lost_fraction,mean_snr,normalized_mu_star,positive_fraction,negative_fraction,effect_character,current_status,fixed_or_inferred,in_abc12
abc_target_01_jnkp_s480_standardized_residual,jnk,1,stressStrength,3.02472792958,3.18638206492,2.68901808209,0.8439094958807185,19,0.95,1,0.050000000000000044,,1.85844525061,0.894736842105,0.105263157895,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,2,lambdaStress,2.46843402706,2.46843402706,2.50021566851,1.0128752241711128,18,0.9,2,0.09999999999999998,,1.43970478134,0.777777777778,0.0,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,3,pOffMax,-1.79451168074,1.79451168074,1.24383398839,0.6931322887110337,18,0.9,2,0.09999999999999998,,1.04664212963,0.0,1.0,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_01_jnkp_s480_standardized_residual,jnk,4,migrProbP,-0.0355142503321,1.28337909799,2.23416369646,1.7408446965975197,18,0.9,2,0.09999999999999998,,0.748525989917,0.444444444444,0.444444444444,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,5,tumorEndothelialRadius,-0.756226471558,1.25211345455,2.33845592117,1.8676070548338795,16,0.8,4,0.19999999999999996,,0.730290422,0.375,0.4375,strong nonlinearity/interaction-dependent; sign-varying,hard-coded,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,6,migrProbM,0.521872148463,1.11827356243,1.70783818904,1.5272096617654813,19,0.95,1,0.050000000000000044,,0.652228812691,0.684210526316,0.315789473684,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,7,pOnMax,1.06214575087,1.11788574764,0.961340850317,0.859963419648666,16,0.8,4,0.19999999999999996,,0.652002621189,0.875,0.125,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_01_jnkp_s480_standardized_residual,jnk,8,initialLungCount,0.35345596694,1.09154288024,1.63626148888,1.4990354648460824,19,0.95,1,0.050000000000000044,,0.636638243719,0.631578947368,0.315789473684,strong nonlinearity/interaction-dependent; sign-varying,hard-coded,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,9,lambdaCAF,1.0390382387,1.08148883747,1.57786599745,1.4589757589557824,20,1.0,0,0.0,,0.630774261414,0.5,0.1,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_01_jnkp_s480_standardized_residual,jnk,10,divProbEP,0.457830998286,1.07803133335,1.54678077214,1.4348198649600967,19,0.95,1,0.050000000000000044,,0.628757685253,0.526315789474,0.368421052632,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,1,stressStrength,0.604945585915,0.637276412983,0.537803616418,0.8439094958820428,19,0.95,1,0.050000000000000044,,1.85844525061,0.894736842105,0.105263157895,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,2,lambdaStress,0.493686805412,0.493686805412,0.500043133702,1.0128752241711128,18,0.9,2,0.09999999999999998,,1.43970478134,0.777777777778,0.0,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,3,pOffMax,-0.358902336148,0.358902336148,0.248766797678,0.6931322887110337,18,0.9,2,0.09999999999999998,,1.04664212963,0.0,1.0,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_01_jnkp_s480_stat,jnk,4,migrProbP,-0.00710285006643,0.256675819598,0.446832739291,1.7408446965936235,18,0.9,2,0.09999999999999998,,0.748525989917,0.444444444444,0.444444444444,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,5,tumorEndothelialRadius,-0.151245294312,0.250422690911,0.467691184234,1.8676070548264216,16,0.8,4,0.19999999999999996,,0.730290422,0.375,0.4375,strong nonlinearity/interaction-dependent; sign-varying,hard-coded,fixed,False
abc_target_01_jnkp_s480_stat,jnk,6,migrProbM,0.104374429693,0.223654712486,0.341567637809,1.5272096617699524,19,0.95,1,0.050000000000000044,,0.652228812691,0.684210526316,0.315789473684,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,7,pOnMax,0.212429150175,0.223577149529,0.192268170063,0.8599634196430305,16,0.8,4,0.19999999999999996,,0.652002621189,0.875,0.125,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_01_jnkp_s480_stat,jnk,8,initialLungCount,0.0706911933879,0.218308576049,0.327252297777,1.4990354648437965,19,0.95,1,0.050000000000000044,,0.636638243719,0.631578947368,0.315789473684,strong nonlinearity/interaction-dependent; sign-varying,hard-coded,fixed,False
abc_target_01_jnkp_s480_stat,jnk,9,lambdaCAF,0.207807647741,0.216297767493,0.31557319949,1.4589757589625276,20,1.0,0,0.0,,0.630774261414,0.5,0.1,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_01_jnkp_s480_stat,jnk,10,divProbEP,0.0915661996571,0.215606266669,0.309356154428,1.4348198649667516,19,0.95,1,0.050000000000000044,,0.628757685253,0.526315789474,0.368421052632,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_02_jnkp_s1440_standardized_residual,jnk,1,pOffMax,-2.22508458535,2.22508458535,1.01685185674,0.4569946973858757,13,0.65,7,0.35,,1.34292295612,0.0,1.0,consistent (near-linear/additive),ABC-inferred,inferred,True
abc_target_02_jnkp_s1440_standardized_residual,jnk,2,stressStrength,1.96199755754,2.20891113779,2.1209064871,0.9601592616450619,15,0.75,5,0.25,,1.33316166697,0.933333333333,0.0666666666667,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_02_jnkp_s1440_standardized_residual,jnk,3,divProbMN,1.39335442878,1.87343576649,2.77092426779,1.4790601937644763,11,0.55,9,0.44999999999999996,,1.1306895541,0.636363636364,0.363636363636,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_02_jnkp_s1440_standardized_residual,jnk,4,lambdaStress,1.72731324364,1.7478386952,2.04754359157,1.1714717137188142,12,0.6,8,0.4,,1.05488695704,0.75,0.0833333333333,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_02_jnkp_s1440_standardized_residual,jnk,5,dieProbMP,0.596795693379,1.73629669897,2.32824314143,1.340924706480841,12,0.6,8,0.4,,1.04792092446,0.416666666667,0.583333333333,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_02_jnkp_s1440_standardized_residual,jnk,6,dieProbL,-1.64452046117,1.64452046117,2.25529337999,1.3713987957227747,14,0.7,6,0.30000000000000004,,0.992530483404,0.0,0.857142857143,strong nonlinearity/interaction-dependent,fixed,fixed,False
