,current_status_a,current_status_b,in_abc12,rank_a,rank_b,rank_change_b_minus_a,abs_rank_change,score_a,score_b,score_change,tumor_score_a,tumor_score_b,jnk_score_a,jnk_score_b,fibroblast_score_a,fibroblast_score_b,macrophage_score_a,macrophage_score_b,endothelial_score_a,endothelial_score_b,failure_score_a,failure_score_b
divProbMP,fixed,fixed,False,2,1,-1,1,0.524212917911,0.516678761519,-0.007534156391999947,0.545306450258,0.540467330398,0.314092108358,0.353548517686,0.415061515225,0.42327461028,0.812038137905,0.788406267427,0.547088072144,0.590640985429,0.511691223575,0.403734857893
dieProbMP,fixed,fixed,False,1,2,1,1,0.57239147618,0.497298823778,-0.07509265240199997,0.570707109725,0.453696363129,0.528521433573,0.452534376851,0.556804685728,0.496414908565,0.580213163037,0.711125705274,0.512163964053,0.510156392769,0.685938500961,0.359865196078
divProbFN,fixed,fixed,False,4,3,-1,1,0.42196868538,0.423818575876,0.0018498904960000395,0.24075203706,0.22688061785,0.202238717368,0.331923410112,0.929376198005,0.95159222125,0.169505051984,0.146900915829,0.237687855611,0.262796069698,0.752252252252,0.622818220519
stressStrength,fixed,fixed,False,3,4,1,1,0.455854142255,0.423152887154,-0.03270125510099997,0.449369443522,0.487780180931,0.650636860665,0.848490449564,0.222857018076,0.266266283517,0.22439730661,0.201817660135,0.295972332765,0.317867056219,0.891891891892,0.416695692558
divProbMN,fixed,fixed,False,5,5,0,0,0.420296208183,0.403417674,-0.016878534183000005,0.283611708064,0.301722617276,0.294044977046,0.462064023946,0.350549192722,0.332930291812,0.554325168252,0.690740917913,0.322466923732,0.304197938828,0.716779279279,0.328850254223
dieProbMN,fixed,fixed,False,8,6,-2,2,0.370441847487,0.386751104145,0.016309256658000038,0.323907599301,0.245055989408,0.130492253682,0.214574531793,0.493137630551,0.427370418888,0.501894068931,0.556772133421,0.220854667594,0.333398421667,0.552364864865,0.543335129689
divProbP,ABC-inferred,ABC-inferred,True,16,7,-9,9,0.290615817227,0.370747240327,0.08013142310000004,0.871111117095,0.86006975011,0.161717328614,0.391254368389,0.219968843486,0.436406955058,0.102687238086,0.121836962625,0.217039204908,0.192035263363,0.171171171171,0.22288014242
pOffMax,ABC-inferred,ABC-inferred,True,13,8,-5,5,0.323788823658,0.362177957776,0.03838913411799999,0.403435168349,0.482858759988,0.62990602692,0.711193091904,0.148605248969,0.21841872375,0.080167409487,0.18156640347,0.121215935072,0.164231433207,0.559403153153,0.41479933434
dieProbFN,fixed,fixed,False,7,9,2,2,0.379462005581,0.350511632722,-0.02895037285900004,0.236743810886,0.212262797151,0.192186158433,0.207413724983,0.658534337272,0.638796793674,0.116284908065,0.111004131117,0.216040836849,0.215878815599,0.856981981982,0.717713533805
migrProbP,fixed,fixed,False,11,10,-1,1,0.341620384606,0.348521796276,0.006901411669999968,0.468223347936,0.580657296479,0.355675027494,0.426820975105,0.189278521688,0.206763156196,0.083175370234,0.11379570025,0.169586256499,0.256611200616,0.783783783784,0.506482449011
dieProbEN,fixed,fixed,False,10,11,1,1,0.349050715232,0.344587896255,-0.0044628189769999604,0.249849318368,0.193928255911,0.298888206129,0.23457408098,0.186978975129,0.171440758823,0.25438943497,0.339845772191,0.29929970815,0.540037361837,0.804898648649,0.587701147785
clusterRadius,fixed,fixed,False,15,12,-3,3,0.296683767146,0.338084882561,0.04140111541500002,0.338833540645,0.537643519442,0.27704792611,0.383718354566,0.251483741548,0.306005503835,0.112217976973,0.154630037808,0.175800949131,0.256287799833,0.624718468468,0.390224079879
lambdaStress,fixed,fixed,False,6,13,7,7,0.419700835185,0.325208962171,-0.09449187301400003,0.526756762195,0.345396725522,0.774176904485,0.676065586064,0.168465684237,0.1599964622,0.0782929112042,0.117199900972,0.328057794034,0.315430347309,0.642454954955,0.337164750958
dieProbL,fixed,fixed,False,9,14,5,5,0.364384416297,0.320584325634,-0.043800090663,0.274418988019,0.244389515482,0.562737461862,0.428182552758,0.249481658811,0.194025215972,0.1045486079,0.138797156928,0.236110772181,0.242543572731,0.759009009009,0.675567939936
dieProbEP,fixed,fixed,False,23,15,-8,8,0.276199472974,0.320378162131,0.04417868915700002,0.128690399089,0.178249217467,0.130460547049,0.176603756246,0.0945674471632,0.0938483423589,0.255909488965,0.301770571461,0.543979211986,0.749100147125,0.50358974359,0.42269693813
initPop,fixed CLI,fixed CLI,False,20,16,-4,4,0.278109728671,0.299985773268,0.021876044597000044,0.336366190787,0.324226311442,0.253523308961,0.241413468042,0.134313750916,0.185576650393,0.0933862749843,0.132502929155,0.216496774304,0.311373112538,0.634572072072,0.604822168041
recruitBias,fixed,fixed,False,27,17,-10,10,0.251075804254,0.291898449232,0.04082264497799998,0.195316915474,0.329271195188,0.108953697473,0.261146584942,0.25589422656,0.319727215955,0.158109239371,0.204047832114,0.33702763966,0.310327632274,0.451153106983,0.326870234916
initialLungCount,hard-coded,hard-coded,False,12,18,6,6,0.338658105214,0.285815396657,-0.05284270855700002,0.270552761197,0.240190167563,0.356951393868,0.37510854992,0.219850803682,0.266382759645,0.162797212821,0.140387628404,0.262787450708,0.211457896494,0.759009009009,0.481365377917
migrProbM,fixed,fixed,False,18,19,1,1,0.282300855457,0.283978111685,0.001677256227999968,0.336515207164,0.255432977973,0.407044788493,0.323148729193,0.206360375565,0.195213396768,0.22138216894,0.267475578581,0.30412720487,0.35267887308,0.218375387711,0.309919114517
divProbFP,ABC-inferred,ABC-inferred,True,14,20,6,6,0.311979068937,0.282516917155,-0.029462151782000012,0.246415823509,0.219408014888,0.231454149875,0.195415953317,0.554534187017,0.546254415617,0.103843045774,0.146549544649,0.262654234472,0.22043150627,0.472972972973,0.367042068191
dieProbP,ABC-inferred,ABC-inferred,True,39,21,-18,18,0.199908516318,0.271900223715,0.071991707397,0.241401510324,0.303268368791,0.109789925345,0.104201219482,0.168083986701,0.207945681923,0.0651547353679,0.129548555498,0.182588507734,0.318961995095,0.432432432432,0.567475521499
