output_family,output_name,rows,valid,invalid
abc,maximum_absolute_standardized_residual,920,357,563
abc,total_abc_distance,920,357,563
endothelial,abc_target_03_ec_s480_standardized_residual,920,909,11
endothelial,abc_target_03_ec_s480_stat,920,909,11
endothelial,abc_target_04_ec_s960_standardized_residual,920,702,218
endothelial,abc_target_04_ec_s960_stat,920,702,218
endothelial,abc_target_05_ec_s1440_standardized_residual,920,497,423
endothelial,abc_target_05_ec_s1440_stat,920,497,423
endothelial,cumulative_ec_deaths_s0,920,920,0
endothelial,cumulative_ec_deaths_s1440,920,920,0
endothelial,cumulative_ec_deaths_s480,920,920,0
endothelial,cumulative_ec_deaths_s960,920,920,0
endothelial,cumulative_ec_divisions_s0,920,920,0
endothelial,cumulative_ec_divisions_s1440,920,920,0
endothelial,cumulative_ec_divisions_s480,920,920,0
endothelial,cumulative_ec_divisions_s960,920,920,0
endothelial,ec_activated_fraction_s0,920,920,0
endothelial,ec_activated_fraction_s1440,920,497,423
endothelial,ec_activated_fraction_s480,920,909,11
endothelial,ec_activated_fraction_s960,920,702,218
failure,ec_population_zero_status,920,920,0
failure,fibroblast_population_zero_status,920,920,0
failure,invalid_denominator_status,920,920,0
failure,macrophage_population_zero_status,920,920,0
failure,overall_error_status,920,920,0
failure,overall_finite_status,920,920,0
failure,overall_invalid_status,920,920,0
failure,tumor_extinction_status,920,920,0
fibroblast,abc_target_07_fibro_s1440_standardized_residual,920,891,29
fibroblast,abc_target_07_fibro_s1440_stat,920,891,29
fibroblast,cumulative_fibroblast_deaths_s0,920,920,0
fibroblast,cumulative_fibroblast_deaths_s1440,920,920,0
fibroblast,cumulative_fibroblast_deaths_s480,920,920,0
fibroblast,cumulative_fibroblast_deaths_s960,920,920,0
fibroblast,cumulative_fibroblast_divisions_s0,920,920,0
fibroblast,cumulative_fibroblast_divisions_s1440,920,920,0
fibroblast,cumulative_fibroblast_divisions_s480,920,920,0
fibroblast,cumulative_fibroblast_divisions_s960,920,920,0
fibroblast,fibroblast_fold_change_s0,920,920,0
fibroblast,fibroblast_fold_change_s1440,920,920,0
fibroblast,fibroblast_fold_change_s480,920,920,0
fibroblast,fibroblast_fold_change_s960,920,920,0
fibroblast,fibroblast_log10_fold_s0,920,920,0
fibroblast,fibroblast_log10_fold_s1440,920,891,29
fibroblast,fibroblast_log10_fold_s480,920,920,0
fibroblast,fibroblast_log10_fold_s960,920,903,17
fibroblast,fibroblast_total_s0,920,920,0
fibroblast,fibroblast_total_s1440,920,920,0
fibroblast,fibroblast_total_s480,920,920,0
fibroblast,fibroblast_total_s960,920,920,0
fibroblast,temporal_fibroblast_tumor_correlation,920,920,0
jnk,abc_target_01_jnkp_s480_standardized_residual,920,872,48
jnk,abc_target_01_jnkp_s480_stat,920,872,48
jnk,abc_target_02_jnkp_s1440_standardized_residual,920,680,240
jnk,abc_target_02_jnkp_s1440_stat,920,680,240
jnk,jnkp_fraction_s0,920,920,0
jnk,jnkp_fraction_s1440,920,680,240
jnk,jnkp_fraction_s480,920,872,48
jnk,jnkp_fraction_s960,920,782,138
jnk,jnkp_rim_fraction_s0,920,920,0
jnk,jnkp_rim_fraction_s1440,920,618,302
jnk,jnkp_rim_fraction_s480,920,786,134
jnk,jnkp_rim_fraction_s960,920,709,211
macrophage,abc_target_06_mac_s1440_standardized_residual,920,871,49
macrophage,abc_target_06_mac_s1440_stat,920,871,49
macrophage,active_macrophage_ec_colocalization_s0,920,0,920
macrophage,active_macrophage_ec_colocalization_s1440,920,755,165
macrophage,active_macrophage_ec_colocalization_s480,920,900,20
macrophage,active_macrophage_ec_colocalization_s960,920,846,74
macrophage,cumulative_macrophage_deaths_s0,920,920,0
macrophage,cumulative_macrophage_deaths_s1440,920,920,0
macrophage,cumulative_macrophage_deaths_s480,920,920,0
macrophage,cumulative_macrophage_deaths_s960,920,920,0
macrophage,cumulative_macrophage_divisions_s0,920,920,0
macrophage,cumulative_macrophage_divisions_s1440,920,920,0
macrophage,cumulative_macrophage_divisions_s480,920,920,0
macrophage,cumulative_macrophage_divisions_s960,920,920,0
macrophage,macrophage_activated_fraction_s0,920,920,0
macrophage,macrophage_activated_fraction_s1440,920,871,49
macrophage,macrophage_activated_fraction_s480,920,920,0
macrophage,macrophage_activated_fraction_s960,920,904,16
population,total_population_s0,920,920,0
population,total_population_s1440,920,920,0
population,total_population_s480,920,920,0
population,total_population_s960,920,920,0
tumor,abc_target_08_tumor_s480_standardized_residual,920,872,48
tumor,abc_target_08_tumor_s480_stat,920,872,48
tumor,abc_target_09_tumor_s960_standardized_residual,920,782,138
tumor,abc_target_09_tumor_s960_stat,920,782,138
tumor,abc_target_10_tumor_s1440_standardized_residual,920,680,240
tumor,abc_target_10_tumor_s1440_stat,920,680,240
tumor,cumulative_chemo_tumor_deaths_s0,920,920,0
tumor,cumulative_chemo_tumor_deaths_s1440,920,920,0
tumor,cumulative_chemo_tumor_deaths_s480,920,920,0
tumor,cumulative_chemo_tumor_deaths_s960,920,920,0
tumor,cumulative_chemo_tumor_divisions_s0,920,920,0
tumor,cumulative_chemo_tumor_divisions_s1440,920,920,0
tumor,cumulative_chemo_tumor_divisions_s480,920,920,0
tumor,cumulative_chemo_tumor_divisions_s960,920,920,0
tumor,cumulative_tumor_deaths_s0,920,920,0
tumor,cumulative_tumor_deaths_s1440,920,920,0
tumor,cumulative_tumor_deaths_s480,920,920,0
tumor,cumulative_tumor_deaths_s960,920,920,0
tumor,cumulative_tumor_divisions_s0,920,920,0
tumor,cumulative_tumor_divisions_s1440,920,920,0
tumor,cumulative_tumor_divisions_s480,920,920,0
tumor,cumulative_tumor_divisions_s960,920,920,0
tumor,tumor_fold_change_s0,920,920,0
tumor,tumor_fold_change_s1440,920,920,0
tumor,tumor_fold_change_s480,920,920,0
tumor,tumor_fold_change_s960,920,920,0
tumor,tumor_log10_fold_s0,920,920,0
tumor,tumor_log10_fold_s1440,920,680,240
tumor,tumor_log10_fold_s480,920,872,48
tumor,tumor_log10_fold_s960,920,782,138
tumor,tumor_radius_s0,920,920,0
tumor,tumor_radius_s1440,920,680,240
tumor,tumor_radius_s480,920,872,48
tumor,tumor_radius_s960,920,782,138
tumor,tumor_rms_spread_s0,920,920,0
tumor,tumor_rms_spread_s1440,920,680,240
tumor,tumor_rms_spread_s480,920,872,48
tumor,tumor_rms_spread_s960,920,782,138
tumor,tumor_total_s0,920,920,0
tumor,tumor_total_s1440,920,920,0
tumor,tumor_total_s480,920,920,0
tumor,tumor_total_s960,920,920,0
