sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,status,flags,error_class,error_message,runtime_ms
"T0000_S002_R000","T0000_S002",0,2,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",5658
"T0000_S002_R002","T0000_S002",0,2,2,15789126667445305,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",5933
"T0000_S005_R000","T0000_S005",0,5,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",12477
"T0000_S005_R001","T0000_S005",0,5,1,-1576540748777249524,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",13372
"T0000_S006_R001","T0000_S006",0,6,1,-1576540748777249524,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",12495
"T0000_S006_R002","T0000_S006",0,6,2,15789126667445305,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",12067
"T0000_S009_R000","T0000_S009",0,9,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",13405
"T0000_S009_R001","T0000_S009",0,9,1,-1576540748777249524,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",13733
"T0000_S009_R002","T0000_S009",0,9,2,15789126667445305,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",13231
"T0000_S010_R000","T0000_S010",0,10,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",13732
"T0000_S010_R001","T0000_S010",0,10,1,-1576540748777249524,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",13764
"T0000_S010_R002","T0000_S010",0,10,2,15789126667445305,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",13520
"T0000_S012_R002","T0000_S012",0,12,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",14832
"T0000_S015_R002","T0000_S015",0,15,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",16377
"T0000_S016_R002","T0000_S016",0,16,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",16401
"T0000_S020_R000","T0000_S020",0,20,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",17098
"T0000_S020_R002","T0000_S020",0,20,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",17041
"T0000_S021_R000","T0000_S021",0,21,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",17522
"T0000_S021_R001","T0000_S021",0,21,1,-1576540748777249524,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",16602
"T0000_S021_R002","T0000_S021",0,21,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",17156
"T0000_S022_R000","T0000_S022",0,22,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",16848
"T0000_S022_R001","T0000_S022",0,22,1,-1576540748777249524,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",16869
"T0000_S022_R002","T0000_S022",0,22,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18433
"T0000_S029_R000","T0000_S029",0,29,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18182
"T0000_S029_R001","T0000_S029",0,29,1,-1576540748777249524,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18527
"T0000_S029_R002","T0000_S029",0,29,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",17734
"T0000_S030_R000","T0000_S030",0,30,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",19069
"T0000_S030_R001","T0000_S030",0,30,1,-1576540748777249524,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18436
"T0000_S032_R000","T0000_S032",0,32,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18765
"T0000_S033_R000","T0000_S033",0,33,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",17438
"T0000_S033_R001","T0000_S033",0,33,1,-1576540748777249524,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",17588
"T0000_S033_R002","T0000_S033",0,33,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18003
"T0000_S034_R001","T0000_S034",0,34,1,-1576540748777249524,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",19299
"T0000_S034_R002","T0000_S034",0,34,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18123
"T0000_S035_R002","T0000_S035",0,35,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",17499
"T0000_S036_R000","T0000_S036",0,36,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18725
"T0000_S036_R001","T0000_S036",0,36,1,-1576540748777249524,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18611
"T0000_S036_R002","T0000_S036",0,36,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",17911
"T0000_S037_R000","T0000_S037",0,37,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18916
"T0000_S037_R002","T0000_S037",0,37,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18019
"T0000_S040_R000","T0000_S040",0,40,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",19195
"T0000_S041_R002","T0000_S041",0,41,2,15789126667445305,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",17435
"T0001_S003_R001","T0001_S003",1,3,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3963
"T0001_S004_R000","T0001_S004",1,4,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2647
"T0001_S006_R001","T0001_S006",1,6,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1387
"T0001_S007_R000","T0001_S007",1,7,0,-918591818168106033,"INVALID","MACROPHAGE_POPULATION_ZERO;INVALID_DENOMINATOR","","",2524
"T0001_S007_R001","T0001_S007",1,7,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2132
"T0001_S007_R002","T0001_S007",1,7,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2373
"T0001_S008_R000","T0001_S008",1,8,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2958
"T0001_S008_R002","T0001_S008",1,8,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1874
"T0001_S009_R002","T0001_S009",1,9,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2465
"T0001_S013_R001","T0001_S013",1,13,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1275
"T0001_S013_R002","T0001_S013",1,13,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1135
"T0001_S014_R002","T0001_S014",1,14,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1289
"T0001_S015_R001","T0001_S015",1,15,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1123
"T0001_S015_R002","T0001_S015",1,15,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1296
"T0001_S016_R000","T0001_S016",1,16,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",948
"T0001_S021_R000","T0001_S021",1,21,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1841
"T0001_S021_R001","T0001_S021",1,21,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1750
"T0001_S022_R001","T0001_S022",1,22,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;MACROPHAGE_POPULATION_ZERO;INVALID_DENOMINATOR","","",1225
"T0001_S023_R000","T0001_S023",1,23,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1233
"T0001_S023_R001","T0001_S023",1,23,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1415
"T0001_S023_R002","T0001_S023",1,23,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1245
"T0001_S024_R000","T0001_S024",1,24,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1933
"T0001_S024_R001","T0001_S024",1,24,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1841
"T0001_S026_R000","T0001_S026",1,26,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2712
"T0001_S026_R001","T0001_S026",1,26,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2815
"T0001_S026_R002","T0001_S026",1,26,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3159
"T0001_S028_R000","T0001_S028",1,28,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3283
"T0001_S028_R001","T0001_S028",1,28,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2982
"T0001_S028_R002","T0001_S028",1,28,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2714
"T0001_S029_R001","T0001_S029",1,29,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2784
"T0001_S030_R001","T0001_S030",1,30,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2789
"T0001_S031_R000","T0001_S031",1,31,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4205
"T0001_S031_R001","T0001_S031",1,31,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4181
"T0001_S031_R002","T0001_S031",1,31,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2713
"T0001_S037_R000","T0001_S037",1,37,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3850
"T0001_S038_R001","T0001_S038",1,38,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3618
"T0001_S038_R002","T0001_S038",1,38,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3934
"T0001_S039_R001","T0001_S039",1,39,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4375
"T0001_S039_R002","T0001_S039",1,39,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4363
"T0001_S040_R000","T0001_S040",1,40,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4329
"T0001_S040_R001","T0001_S040",1,40,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4539
"T0001_S041_R000","T0001_S041",1,41,0,-918591818168106033,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6828
"T0001_S041_R001","T0001_S041",1,41,1,2615425428737380011,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",7495
"T0001_S041_R002","T0001_S041",1,41,2,-5342353880590268224,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6967
"T0001_S042_R000","T0001_S042",1,42,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",7507
"T0001_S042_R001","T0001_S042",1,42,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",9303
"T0001_S042_R002","T0001_S042",1,42,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",7589
"T0001_S043_R000","T0001_S043",1,43,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",8197
"T0001_S043_R001","T0001_S043",1,43,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",7792
"T0001_S043_R002","T0001_S043",1,43,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",8058
"T0001_S044_R000","T0001_S044",1,44,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",8223
"T0001_S044_R001","T0001_S044",1,44,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",9424
"T0001_S044_R002","T0001_S044",1,44,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",8320
"T0001_S045_R000","T0001_S045",1,45,0,-918591818168106033,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",9041
"T0001_S045_R001","T0001_S045",1,45,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",9406
"T0001_S045_R002","T0001_S045",1,45,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",8902
"T0002_S001_R000","T0002_S001",2,1,0,-8992551566662092893,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1343
"T0002_S001_R001","T0002_S001",2,1,1,-6426792539126093878,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1441
"T0002_S001_R002","T0002_S001",2,1,2,-3318229283969538899,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2388
"T0002_S002_R000","T0002_S002",2,2,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1819
"T0002_S002_R001","T0002_S002",2,2,1,-6426792539126093878,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1731
"T0002_S002_R002","T0002_S002",2,2,2,-3318229283969538899,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1753
"T0002_S003_R000","T0002_S003",2,3,0,-8992551566662092893,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2023
