sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,changed_parameter,signed_normalized_step,runtime_ms,resumed,status,flags,error_class,error_message,netN,dieProbN,pOnMax,pOffMax,divProbP,dieProbP,cafDivBoost,ecSurvival,activProbF,divProbFP,activProbM,activProbE,recruitBias,lambdaCAF,stressStrength,lambdaStress,migrProbP,migrProbN,divProbFN,dieProbFN,dieProbFP,divProbMN,dieProbMN,divProbMP,dieProbMP,migrProbM,dieProbEN,divProbEP,dieProbEP,deactProbE,dieProbL,macrophageDaughterActivationBoost,endothelialDaughterDivisionBoost,fibroblastSignalBoost,fibroblastSignalCap,tumorEndothelialRadius,macrophageInteractionRadius,macrophageEndothelialBiasRadius,endothelialMacrophageRadius,fibroblastTumorRadius,clusterRadius,initialJnkPositiveTenths,initialMacrophageCount,initialLungCount,initPop,s0_jnkp_tumor_count,s0_jnkn_tumor_count,s0_active_ec_count,s0_inactive_ec_count,s0_active_macrophage_count,s0_inactive_macrophage_count,s0_active_fibroblast_count,s0_inactive_fibroblast_count,s0_total_population,s0_cumulative_tumor_divisions,s0_cumulative_tumor_deaths,s0_cumulative_fibroblast_divisions,s0_cumulative_fibroblast_deaths,s0_cumulative_macrophage_divisions,s0_cumulative_macrophage_deaths,s0_cumulative_ec_divisions,s0_cumulative_ec_deaths,s0_cumulative_chemo_tumor_divisions,s0_cumulative_chemo_tumor_deaths,s0_tumor_radius,s0_tumor_rms_spread,s0_jnkp_rim_fraction,s0_active_macrophage_ec_colocalization,s480_jnkp_tumor_count,s480_jnkn_tumor_count,s480_active_ec_count,s480_inactive_ec_count,s480_active_macrophage_count,s480_inactive_macrophage_count,s480_active_fibroblast_count,s480_inactive_fibroblast_count,s480_total_population,s480_cumulative_tumor_divisions,s480_cumulative_tumor_deaths,s480_cumulative_fibroblast_divisions,s480_cumulative_fibroblast_deaths,s480_cumulative_macrophage_divisions,s480_cumulative_macrophage_deaths,s480_cumulative_ec_divisions,s480_cumulative_ec_deaths,s480_cumulative_chemo_tumor_divisions,s480_cumulative_chemo_tumor_deaths,s480_tumor_radius,s480_tumor_rms_spread,s480_jnkp_rim_fraction,s480_active_macrophage_ec_colocalization,s960_jnkp_tumor_count,s960_jnkn_tumor_count,s960_active_ec_count,s960_inactive_ec_count,s960_active_macrophage_count,s960_inactive_macrophage_count,s960_active_fibroblast_count,s960_inactive_fibroblast_count,s960_total_population,s960_cumulative_tumor_divisions,s960_cumulative_tumor_deaths,s960_cumulative_fibroblast_divisions,s960_cumulative_fibroblast_deaths,s960_cumulative_macrophage_divisions,s960_cumulative_macrophage_deaths,s960_cumulative_ec_divisions,s960_cumulative_ec_deaths,s960_cumulative_chemo_tumor_divisions,s960_cumulative_chemo_tumor_deaths,s960_tumor_radius,s960_tumor_rms_spread,s960_jnkp_rim_fraction,s960_active_macrophage_ec_colocalization,s1440_jnkp_tumor_count,s1440_jnkn_tumor_count,s1440_active_ec_count,s1440_inactive_ec_count,s1440_active_macrophage_count,s1440_inactive_macrophage_count,s1440_active_fibroblast_count,s1440_inactive_fibroblast_count,s1440_total_population,s1440_cumulative_tumor_divisions,s1440_cumulative_tumor_deaths,s1440_cumulative_fibroblast_divisions,s1440_cumulative_fibroblast_deaths,s1440_cumulative_macrophage_divisions,s1440_cumulative_macrophage_deaths,s1440_cumulative_ec_divisions,s1440_cumulative_ec_deaths,s1440_cumulative_chemo_tumor_divisions,s1440_cumulative_chemo_tumor_deaths,s1440_tumor_radius,s1440_tumor_rms_spread,s1440_jnkp_rim_fraction,s1440_active_macrophage_ec_colocalization,s2100_jnkp_tumor_count,s2100_jnkn_tumor_count,s2100_active_ec_count,s2100_inactive_ec_count,s2100_active_macrophage_count,s2100_inactive_macrophage_count,s2100_active_fibroblast_count,s2100_inactive_fibroblast_count,s2100_total_population,s2100_cumulative_tumor_divisions,s2100_cumulative_tumor_deaths,s2100_cumulative_fibroblast_divisions,s2100_cumulative_fibroblast_deaths,s2100_cumulative_macrophage_divisions,s2100_cumulative_macrophage_deaths,s2100_cumulative_ec_divisions,s2100_cumulative_ec_deaths,s2100_cumulative_chemo_tumor_divisions,s2100_cumulative_chemo_tumor_deaths,s2100_tumor_radius,s2100_tumor_rms_spread,s2100_jnkp_rim_fraction,s2100_active_macrophage_ec_colocalization
"T0000_S001_R000","T0000_S001",0,1,0,-6455802252701332792,"divProbFP",0.600000000000,4845,false,"FINITE","","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,1.25594321575,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.0151948705234,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,5.50000000000,3.10000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,58,76,138,28,935,569,440,1060,3304,440,332,1729,371,3453,2597,164,235,0,0,34.6907389854,14.6758640923,1,0.501604278075,40,50,352,164,2674,479,892,2091,6742,767,703,4313,1472,19078,16573,820,541,0,0,38.0597353747,16.7089759274,1,0.281974569933,40,33,490,311,2908,355,1460,2673,8270,1005,958,7187,3196,40820,38205,1775,1211,0,0,23.9401894373,14.5918512954,1,0.248968363136,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S001_R001","T0000_S001",0,1,1,-1576540748777249524,"divProbFP",0.600000000000,4810,false,"FINITE","","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,1.25594321575,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.0151948705234,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,5.50000000000,3.10000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,16,10,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,8.07728936898,5.12794871154,1,,41,58,149,23,1079,506,324,1087,3267,343,270,1615,346,4024,3087,158,223,0,0,24.0968376755,12.1330581845,1,0.481000926784,42,47,609,213,2955,414,683,1967,6930,650,587,3930,1422,22046,19325,1120,535,0,0,30.7979311244,11.8171376325,1,0.404737732657,34,32,734,686,2707,292,1108,2542,8135,825,785,6415,2907,43567,41216,2804,1621,0,0,36.0757862115,18.1990196408,1,0.354636128556,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S001_R002","T0000_S001",0,1,2,15789126667445305,"divProbFP",0.600000000000,4798,false,"FINITE","","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,1.25594321575,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.0151948705234,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,5.50000000000,3.10000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,16,10,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.96813179236,5.46749404428,1,,38,44,187,80,886,558,354,1088,3235,378,322,1615,315,3302,2506,298,268,0,0,22.9475678130,9.56017449357,1,0.585778781038,50,55,476,272,2609,431,776,2183,6852,675,596,4224,1407,18780,16388,1220,709,0,0,24.1614599129,8.85303540192,1,0.325028746646,52,26,452,467,2691,316,1278,2813,8095,878,826,6971,3022,39323,36964,2266,1584,0,0,16.8946196245,9.64072728671,1,0.261984392419,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S002_R000","T0000_S002",0,2,0,-6455802252701332792,"dieProbMP",-0.600000000000,5658,false,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,1.25594321575,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,5.50000000000,3.10000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,6,2,167,19,3379,535,198,1000,5306,110,128,1347,291,4806,1540,164,215,0,0,10.1280859495,6.20861296909,1,0.455460195324,0,0,235,0,6553,406,228,1273,8695,111,137,2339,980,13053,6742,339,341,0,0,,,,0.324736761788,0,0,259,0,7109,265,260,1129,9022,111,137,2930,1683,20093,13367,481,459,0,0,,,,0.310170206780,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S002_R001","T0000_S002",0,2,1,-1576540748777249524,"dieProbMP",-0.600000000000,5897,false,"FINITE","","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,1.25594321575,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,5.50000000000,3.10000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,16,10,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,8.07728936898,5.12794871154,1,,10,9,208,9,4201,516,154,901,6008,176,183,1253,340,5731,1662,190,210,0,0,13.4442523942,7.79942465383,1,0.490359438229,3,2,262,2,7019,336,175,1035,8834,186,207,1968,900,14403,7696,361,334,0,0,7.07672240518,5.28393792545,1,0.358883031771,0,1,280,1,7381,222,200,952,9037,188,213,2434,1424,21693,14738,511,467,0,0,0,0,,0.340062322179,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S002_R002","T0000_S002",0,2,2,15789126667445305,"dieProbMP",-0.600000000000,5933,false,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,1.25594321575,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,5.50000000000,3.10000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,16,10,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.96813179236,5.46749404428,1,,5,5,223,11,3998,573,108,941,5864,134,150,1177,270,5552,1629,217,220,0,0,18.4271538768,8.52291030107,1,0.498749374687,0,1,286,1,6926,379,130,1031,8754,135,160,1864,845,14117,7460,415,365,0,0,0,0,,0.358504187121,0,0,314,0,7459,239,146,864,9022,135,161,2249,1381,21459,14409,598,521,0,0,,,,0.361442552621,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S005_R000","T0000_S005",0,5,0,-6455802252701332792,"tumorEndothelialRadius",-0.600000000000,12477,false,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,5.00000000000,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,3.10000000000,5.50000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,4,8,247,12,3737,534,143,845,5530,103,117,1123,277,5333,1710,259,237,0,0,10.7059822322,5.24073256118,1,0.614931763447,0,1,293,1,6973,345,169,1045,8827,105,130,1921,849,14296,7626,472,415,0,0,0,0,,0.398537214972,0,0,347,0,7323,237,172,936,9015,105,131,2362,1396,21364,14452,684,574,0,0,,,,0.387136419500,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S005_R001","T0000_S005",0,5,1,-1576540748777249524,"tumorEndothelialRadius",-0.600000000000,13372,false,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,5.00000000000,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,3.10000000000,5.50000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,16,10,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,8.07728936898,5.12794871154,1,,7,2,320,10,4253,550,78,788,6008,89,106,959,235,6037,1882,316,223,0,0,5.69166598883,3.97833639777,1,0.576299083000,0,0,384,1,7147,368,77,795,8772,90,116,1383,653,14884,8017,541,393,0,0,,,,0.402546523017,0,0,412,1,7589,236,92,692,9022,90,116,1679,1037,22179,15002,748,572,0,0,,,,0.402688101199,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S005_R002","T0000_S005",0,5,2,15789126667445305,"tumorEndothelialRadius",-0.600000000000,12579,false,"FINITE","","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,5.00000000000,0.300000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,3.10000000000,5.50000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,16,10,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.96813179236,5.46749404428,1,,4,3,314,10,4135,532,103,816,5917,130,149,1040,263,5824,1805,308,221,0,0,9.55008280763,7.27590375900,1,0.528899637243,0,1,397,0,6908,360,129,969,8764,130,155,1719,763,14352,7732,543,383,0,0,0,0,,0.412999420961,1,2,439,1,7399,225,152,840,9059,133,156,2124,1274,21665,14689,784,581,0,0,1,0.816496580928,1,0.412893634275,,,,,,,,,,,,,,,,,,,,,,,
"T0000_S006_R000","T0000_S006",0,6,0,-6455802252701332792,"migrProbP",-0.600000000000,12289,false,"FINITE","","","",0.00393001542798,0.0100475457260,0.0630957344480,0.0603417633655,0.0209648135631,0.00229739670999,0.800000000000,0,0.0500000000000,0.0340000000000,0.0680000000000,0.0263901582155,0.160000000000,1.99053585277,0,5.00000000000,0.120000000000,0.0600000000000,0.00800000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.00100000000000,0.0300000000000,0.00197435048583,0.400000000000,0.00398107170553,0.0200000000000,0.00100000000000,0.0400000000000,0.000500000000000,0.0160000000000,0.00131950791077,0.0263901582155,15,3.10000000000,5.50000000000,5.50000000000,2.50000000000,3.10000000000,8,6,648,1593,26,15,11,0,237,0,648,0,142,1053,0,0,0,0,0,0,0,0,0,0,7.98528602490,5.75498240529,1,,14,5,219,13,3852,542,184,890,5719,93,100,1241,309,5475,1729,208,213,0,0,9.04283435575,6.33418374035,1,0.535306334372,4,2,277,0,6902,380,206,1127,8898,102,122,2106,915,14213,7579,380,340,0,0,5.83571380000,4.92724849970,1,0.367139959432,0,1,323,1,7287,254,208,1036,9110,103,128,2618,1516,21144,14251,570,483,0,0,0,0,,0.374502538768,,,,,,,,,,,,,,,,,,,,,,,
