output,output_family,parameter,one_seed_mu_star,multi_seed_mu_star,multi_seed_mu_star_ci_low,multi_seed_mu_star_ci_high,one_seed_restricted_rank,multi_seed_rank,rank_change,multi_seed_sigma,multi_seed_mean_snr,spearman_rank_correlation,n_valid_multi_seed,n_lost_multi_seed
"abc_target_01_jnkp_s480_standardized_residual","jnk","stressStrength",3.18638206492,2.93396690864,1.95019317236,3.91774064492,1,1,0,2.18784198967,24.1147867912,0.558307533540,19,1
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOffMax",1.79451168074,2.23106903519,1.57436880137,2.88776926902,2,2,0,1.42150159758,4.98666310469,0.558307533540,18,2
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbM",0.496025872253,0.912566896447,0.329650041888,1.49548375101,14,3,-11,1.60204617086,1.03025269386,0.558307533540,20,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","clusterRadius",0.990450821674,0.809273507801,0.0105743631696,1.60797265243,4,4,0,1.90076473275,0.777885664149,0.558307533540,20,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbEN",0.796366028885,0.657963915951,0.250614748004,1.06531308390,6,5,-1,1.14158974360,0.875741400725,0.558307533540,20,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbP",1.28337909799,0.653264630856,0.0783470413293,1.22818222038,3,6,3,1.45769699943,0.778355706957,0.558307533540,20,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialJnkPositiveTenths",0.596803535693,0.523278664688,0.297954609869,0.748602719507,10,7,-3,0.684930984875,0.731742282118,0.558307533540,17,3
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbP",0.657854945113,0.490055841126,0.305637734917,0.674473947335,8,8,0,0.645443459544,1.25819296021,0.558307533540,20,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbMN",0.471829139750,0.445634850026,0.224234481026,0.667035219026,15,9,-6,0.637915103569,1.00778969614,0.558307533540,19,1
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialMacrophageCount",0.255212987987,0.431977382301,0.160890464629,0.703064299972,18,10,-8,0.753723014109,0.590012949953,0.558307533540,20,0
