overall_rank,parameter,current_status,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,overall_biological_priority_score,weighting_rule
1,"divProbMP","fixed",0.540467330398,0.353548517686,0.423274610280,0.788406267427,0.590640985429,0.403734857893,0.516678761519,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
2,"dieProbMP","fixed",0.453696363129,0.452534376851,0.496414908565,0.711125705274,0.510156392769,0.359865196078,0.497298823778,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
3,"divProbFN","fixed",0.226880617850,0.331923410112,0.951592221250,0.146900915829,0.262796069698,0.622818220519,0.423818575876,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
4,"stressStrength","fixed",0.487780180931,0.848490449564,0.266266283517,0.201817660135,0.317867056219,0.416695692558,0.423152887154,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
5,"divProbMN","fixed",0.301722617276,0.462064023946,0.332930291812,0.690740917913,0.304197938828,0.328850254223,0.403417674000,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
6,"dieProbMN","fixed",0.245055989408,0.214574531793,0.427370418888,0.556772133421,0.333398421667,0.543335129689,0.386751104145,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
7,"divProbP","ABC-inferred",0.860069750110,0.391254368389,0.436406955058,0.121836962625,0.192035263363,0.222880142420,0.370747240327,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
8,"pOffMax","ABC-inferred",0.482858759988,0.711193091904,0.218418723750,0.181566403470,0.164231433207,0.414799334340,0.362177957776,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
9,"dieProbFN","fixed",0.212262797151,0.207413724983,0.638796793674,0.111004131117,0.215878815599,0.717713533805,0.350511632722,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
10,"migrProbP","fixed",0.580657296479,0.426820975105,0.206763156196,0.113795700250,0.256611200616,0.506482449011,0.348521796276,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
11,"dieProbEN","fixed",0.193928255911,0.234574080980,0.171440758823,0.339845772191,0.540037361837,0.587701147785,0.344587896255,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
12,"clusterRadius","fixed",0.537643519442,0.383718354566,0.306005503835,0.154630037808,0.256287799833,0.390224079879,0.338084882561,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
13,"lambdaStress","fixed",0.345396725522,0.676065586064,0.159996462200,0.117199900972,0.315430347309,0.337164750958,0.325208962171,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
14,"dieProbL","fixed",0.244389515482,0.428182552758,0.194025215972,0.138797156928,0.242543572731,0.675567939936,0.320584325634,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
15,"dieProbEP","fixed",0.178249217467,0.176603756246,0.0938483423589,0.301770571461,0.749100147125,0.422696938130,0.320378162131,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
16,"initPop","fixed CLI",0.324226311442,0.241413468042,0.185576650393,0.132502929155,0.311373112538,0.604822168041,0.299985773268,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
17,"recruitBias","fixed",0.329271195188,0.261146584942,0.319727215955,0.204047832114,0.310327632274,0.326870234916,0.291898449232,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
18,"initialLungCount","hard-coded",0.240190167563,0.375108549920,0.266382759645,0.140387628404,0.211457896494,0.481365377917,0.285815396657,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
19,"migrProbM","fixed",0.255432977973,0.323148729193,0.195213396768,0.267475578581,0.352678873080,0.309919114517,0.283978111685,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
20,"divProbFP","ABC-inferred",0.219408014888,0.195415953317,0.546254415617,0.146549544649,0.220431506270,0.367042068191,0.282516917155,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
21,"dieProbP","ABC-inferred",0.303268368791,0.104201219482,0.207945681923,0.129548555498,0.318961995095,0.567475521499,0.271900223715,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
22,"macrophageInteractionRadius","hard-coded",0.358493604076,0.237231399228,0.173307977368,0.315519861245,0.406080754861,0.140724946695,0.271893090579,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
23,"initialMacrophageCount","hard-coded",0.308441153615,0.282930073019,0.175944526371,0.253983690534,0.301774260994,0.249351755099,0.262070909939,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
24,"divProbEP","fixed",0.180898977871,0.214735332508,0.0994872260319,0.171184518564,0.562597682696,0.299819583402,0.254787220179,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
25,"pOnMax","ABC-inferred",0.485959976410,0.339939482924,0.243332238734,0.135245148159,0.116875813954,0.202254035943,0.253934449354,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
26,"dieProbFP","fixed",0.230998619475,0.277444207508,0.505694601279,0.121373569320,0.216374236515,0.115677851310,0.244593847568,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
