output,output_family,parameter,screened,current_status,classification,classification_reason,mu_star,sigma,n_valid,n_lost,mean_snr,mu_star_q25,mu_star_median,mu_star_q75,sigma_q25,sigma_median,sigma_q75
"abc_target_01_jnkp_s480_standardized_residual","jnk","netN",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.222957422325,0.0673241291200,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbN",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.245450556583,0.250626689600,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOnMax",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",0.899591341099,0.846246334701,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOffMax",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",0.774136523765,0.760464923668,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbP",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.210399763971,0.297550199728,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbP",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.205555503543,0.290699380931,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","cafDivBoost",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.100645363873,0.142334038579,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","ecSurvival",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.0100786476163,0.0142533601494,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbF",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.332717401132,0.470533461118,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFP",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.171708035446,0.242831832496,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbM",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.623027620158,0.881094110160,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbE",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.358013319930,0.181842301829,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","recruitBias",true,"fixed","D","mu-star and sigma at/below output medians",0.243096642715,0.213784670551,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaCAF",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",0.734470427800,1.03869804016,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
"abc_target_01_jnkp_s480_standardized_residual","jnk","stressStrength",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",1.79701426025,1.20844674949,2,0,,0.210399763971,0.358013319930,0.711609735733,0.201774392346,0.431077397636,0.895551708957
