sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,status,flags,error_class,error_message,runtime_ms
"T0000_S002_R000","T0000_S002",0,2,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",5846
"T0000_S002_R002","T0000_S002",0,2,2,15789126667445305,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",6091
"T0000_S003_R000","T0000_S003",0,3,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",6208
"T0000_S003_R002","T0000_S003",0,3,2,15789126667445305,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",6429
"T0000_S004_R000","T0000_S004",0,4,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",11125
"T0000_S004_R001","T0000_S004",0,4,1,-1576540748777249524,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",11347
"T0000_S010_R000","T0000_S010",0,10,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",12866
"T0000_S010_R001","T0000_S010",0,10,1,-1576540748777249524,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",12409
"T0000_S010_R002","T0000_S010",0,10,2,15789126667445305,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",11816
"T0000_S012_R002","T0000_S012",0,12,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",13554
"T0000_S014_R000","T0000_S014",0,14,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",15010
"T0000_S016_R002","T0000_S016",0,16,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",14227
"T0000_S017_R000","T0000_S017",0,17,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",15056
"T0000_S017_R002","T0000_S017",0,17,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",14439
"T0000_S020_R000","T0000_S020",0,20,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",15367
"T0000_S020_R002","T0000_S020",0,20,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",15290
"T0000_S021_R000","T0000_S021",0,21,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",16063
"T0000_S021_R001","T0000_S021",0,21,1,-1576540748777249524,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",15494
"T0000_S021_R002","T0000_S021",0,21,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",14983
"T0000_S022_R000","T0000_S022",0,22,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",14380
"T0000_S022_R001","T0000_S022",0,22,1,-1576540748777249524,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",15235
"T0000_S022_R002","T0000_S022",0,22,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",16569
"T0000_S029_R000","T0000_S029",0,29,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",16486
"T0000_S029_R001","T0000_S029",0,29,1,-1576540748777249524,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",17291
"T0000_S029_R002","T0000_S029",0,29,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",16323
"T0000_S030_R000","T0000_S030",0,30,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",19115
"T0000_S030_R001","T0000_S030",0,30,1,-1576540748777249524,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18044
"T0000_S032_R000","T0000_S032",0,32,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18052
"T0000_S033_R000","T0000_S033",0,33,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",17233
"T0000_S033_R001","T0000_S033",0,33,1,-1576540748777249524,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",17035
"T0000_S033_R002","T0000_S033",0,33,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",17418
"T0000_S037_R000","T0000_S037",0,37,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18775
"T0000_S037_R002","T0000_S037",0,37,2,15789126667445305,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18212
"T0000_S040_R000","T0000_S040",0,40,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",18665
"T0000_S041_R002","T0000_S041",0,41,2,15789126667445305,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",16718
"T0001_S003_R001","T0001_S003",1,3,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4986
"T0001_S004_R000","T0001_S004",1,4,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3507
"T0001_S007_R000","T0001_S007",1,7,0,-918591818168106033,"INVALID","MACROPHAGE_POPULATION_ZERO;INVALID_DENOMINATOR","","",3203
"T0001_S007_R001","T0001_S007",1,7,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2797
"T0001_S007_R002","T0001_S007",1,7,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3033
"T0001_S008_R000","T0001_S008",1,8,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3988
"T0001_S008_R002","T0001_S008",1,8,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2499
"T0001_S009_R002","T0001_S009",1,9,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3252
"T0001_S015_R001","T0001_S015",1,15,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1491
