output,output_family,parameter,mu,mu_star,sigma,se_mu_star,median_absolute_ee,iqr_absolute_ee,min_ee,max_ee,n_valid_ee,n_lost_invalid_or_extinct,positive_fraction,negative_fraction,rank_by_mu_star,output_scale_sd,normalized_mu_star,mean_within_point_output_variance,mean_signal_to_noise_ratio
"abc_target_01_jnkp_s480_standardized_residual","jnk","stressStrength",2.32704423979,2.32704423979,0.870817565373,0.615761005651,2.32704423979,0.615761005651,1.71128323413,2.94280524544,2,0,1,0,1,1.80104421691,1.29205280911,0.144175910048,3.75418985021
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOffMax",-1.53853610006,1.53853610006,2.06306015729,1.45880382722,1.53853610006,1.45880382722,-2.99733992728,-0.0797322728443,2,0,0,1,2,1.80104421691,0.854246711777,0.196196870118,1.97322567425
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbMP",-0.746178447245,0.746178447245,0.775066339702,0.548054664673,0.746178447245,0.548054664673,-1.29423311192,-0.198123782572,2,0,0,1,3,1.80104421691,0.414303236000,0.285238261433,0.890599521279
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialJnkPositiveTenths",0.433529616611,0.433529616611,,,0.433529616611,0,0.433529616611,0.433529616611,1,1,1,0,4,1.80104421691,0.240710146115,0.103193354989,0.809737319936
"abc_target_01_jnkp_s480_standardized_residual","jnk","initPop",0.365203434946,0.365203434946,,,0.365203434946,0,0.365203434946,0.365203434946,1,1,1,0,5,1.80104421691,0.202773164322,0.0256889431776,1.36713998379
"abc_target_01_jnkp_s480_standardized_residual","jnk","clusterRadius",-0.0916626259533,0.337779511734,0.477692366586,0.0916626259533,0.337779511734,0.0916626259533,-0.429442137687,0.246116885781,2,0,0.500000000000,0.500000000000,6,1.80104421691,0.187546484735,0.0330139791073,1.17374016448
"abc_target_01_jnkp_s480_standardized_residual","jnk","deactProbE",-0.279452655369,0.279452655369,,,0.279452655369,0,-0.279452655369,-0.279452655369,1,1,0,1,7,1.80104421691,0.155161462859,0.0268594423649,1.02308329864
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFN",0.264274728183,0.264274728183,0.341962703809,0.241804146777,0.264274728183,0.241804146777,0.0224705814066,0.506078874960,2,0,1,0,8,1.80104421691,0.146734169934,0.0204880415896,0.921147390867
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFP",0.209803001333,0.209803001333,0.00811131715566,0.00573556736512,0.209803001333,0.00573556736512,0.204067433967,0.215538568698,2,0,1,0,9,1.80104421691,0.116489644931,0.0473460025250,0.580104416858
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbMP",-0.0348314183865,0.157669613227,0.222978505400,0.0348314183865,0.157669613227,0.0348314183865,-0.192501031613,0.122838194840,2,0,0.500000000000,0.500000000000,10,1.80104421691,0.0875434438236,0.0370002027202,0.489235093545
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageInteractionRadius",-0.103731416650,0.156757769278,0.221688963320,0.103731416650,0.156757769278,0.103731416650,-0.260489185928,0.0530263526273,2,0,0.500000000000,0.500000000000,11,1.80104421691,0.0870371575588,0.490744382941,0.129144387541
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbP",0.150696222067,0.150696222067,0.185862680047,0.131424761431,0.150696222067,0.131424761431,0.0192714606364,0.282120983498,2,0,1,0,12,1.80104421691,0.0836715837692,0.0319344161355,0.472169863720
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbFN",0.0544015125220,0.150218231349,0.212440660089,0.0544015125220,0.150218231349,0.0544015125220,-0.0958167188268,0.204619743871,2,0,0.500000000000,0.500000000000,13,1.80104421691,0.0834061873320,0.0542457506658,0.748240425699
"abc_target_01_jnkp_s480_standardized_residual","jnk","ecSurvival",-0.102696859525,0.102696859525,0.0519427836953,0.0367290945847,0.102696859525,0.0367290945847,-0.139425954110,-0.0659677649408,2,0,0,1,14,1.80104421691,0.0570207319516,0.0254220678340,0.482616720299
"abc_target_01_jnkp_s480_standardized_residual","jnk","endothelialMacrophageRadius",0.00625536487539,0.0954619164953,0.135003536998,0.00625536487539,0.0954619164953,0.00625536487539,-0.0892065516199,0.101717281371,2,0,0.500000000000,0.500000000000,15,1.80104421691,0.0530036495490,0.0573376348010,0.311551565485
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbFP",0.0872650106290,0.0872650106290,0.106336348150,0.0751911528636,0.0872650106290,0.0751911528636,0.0120738577654,0.162456163493,2,0,1,0,16,1.80104421691,0.0484524531989,0.0718159544432,0.187214752290
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialLungCount",0.0729594141180,0.0729594141180,,,0.0729594141180,0,0.0729594141180,0.0729594141180,1,1,1,0,17,1.80104421691,0.0405095074474,0.00809126326658,0.486658622131
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbEP",-0.0715367738620,0.0715367738620,0.00187309534111,0.00132447841751,0.0715367738620,0.00132447841751,-0.0728612522795,-0.0702122954445,2,0,0,1,18,1.80104421691,0.0397196099853,0.0121701439145,0.477496183722
