output,output_family,parameter,one_seed_mu_star,multi_seed_mu_star,multi_seed_mu_star_ci_low,multi_seed_mu_star_ci_high,one_seed_restricted_rank,multi_seed_rank,rank_change,multi_seed_sigma,multi_seed_mean_snr,spearman_rank_correlation,n_valid_multi_seed,n_lost_multi_seed
"abc_target_01_jnkp_s480_standardized_residual","jnk","stressStrength",1.79701426025,2.32704423979,1.12015266871,3.53393581086,3,1,-2,0.870817565373,3.75418985021,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOffMax",0.774136523765,1.53853610006,0,4.39779160140,4,2,-2,2.06306015729,1.97322567425,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbMP",1.81461405988,0.746178447245,0,1.82036559000,2,3,1,0.775066339702,0.890599521279,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","clusterRadius",0.633250686307,0.337779511734,0.158120764865,0.517438258603,5,4,-1,0.477692366586,1.17374016448,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFN",0.419613249454,0.264274728183,0,0.738210855865,7,5,-2,0.341962703809,0.921147390867,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbFP",0.171708035446,0.209803001333,0.198561289297,0.221044713368,11,6,-5,0.00811131715566,0.580104416858,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbMP",0.256103195995,0.157669613227,0.0894000331893,0.225939193264,9,7,-2,0.222978505400,0.489235093545,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageInteractionRadius",2.07665598291,0.156757769278,0,0.360071345912,1,8,7,0.221688963320,0.129144387541,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbP",0.210399763971,0.150696222067,0,0.408288754471,10,9,-1,0.185862680047,0.472169863720,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbFN",0.154217424675,0.150218231349,0.0435912668057,0.256845195892,12,10,-2,0.212440660089,0.748240425699,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","ecSurvival",0.0100786476163,0.102696859525,0.0307078341395,0.174685884911,15,11,-4,0.0519427836953,0.482616720299,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","endothelialMacrophageRadius",0.452722570660,0.0954619164953,0.0832014013395,0.107722431651,6,12,6,0.135003536998,0.311551565485,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbFP",0.365844555455,0.0872650106290,0,0.234639670242,8,13,5,0.106336348150,0.187214752290,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbEP",0.142676041098,0.0715367738620,0.0689407961637,0.0741327515603,13,14,1,0.00187309534111,0.477496183722,0.685714285714,2,0
"abc_target_01_jnkp_s480_standardized_residual","jnk","cafDivBoost",0.100645363873,0.0280195515209,0.00666341147359,0.0493756915682,14,15,1,0.0154092565790,0.145250489527,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","stressStrength",0.359402852050,0.465408847957,0.224030533742,0.706787162172,3,1,-2,0.174163513075,3.75418985021,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","pOffMax",0.154827304753,0.307707220012,0,0.879558320281,4,2,-2,0.412612031458,1.97322567425,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","dieProbMP",0.362922811976,0.149235689449,0,0.364073118001,2,3,1,0.155013267940,0.890599521279,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","clusterRadius",0.126650137261,0.0675559023468,0.0316241529731,0.103487651721,5,4,-1,0.0955384733172,1.17374016448,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","divProbFN",0.0839226498909,0.0528549456366,0,0.147642171173,7,5,-2,0.0683925407619,0.921147390867,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","divProbFP",0.0343416070892,0.0419606002665,0.0397122578594,0.0442089426736,11,6,-5,0.00162226343113,0.580104416858,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","divProbMP",0.0512206391991,0.0315339226454,0.0178800066379,0.0451878386529,9,7,-2,0.0445957010799,0.489235093545,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","macrophageInteractionRadius",0.415331196581,0.0313515538555,0,0.0720142691824,1,8,7,0.0443377926639,0.129144387541,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","divProbP",0.0420799527942,0.0301392444134,0,0.0816577508943,10,9,-1,0.0371725360094,0.472169863720,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","dieProbFN",0.0308434849350,0.0300436462698,0.00871825336114,0.0513690391784,12,10,-2,0.0424881320179,0.748240425699,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","ecSurvival",0.00201572952326,0.0205393719051,0.00614156682791,0.0349371769823,15,11,-4,0.0103885567391,0.482616720299,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","endothelialMacrophageRadius",0.0905445141321,0.0190923832991,0.0166402802679,0.0215444863302,6,12,6,0.0270007073996,0.311551565485,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","dieProbFP",0.0731689110909,0.0174530021258,0,0.0469279340483,8,13,5,0.0212672696300,0.187214752290,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","divProbEP",0.0285352082196,0.0143073547724,0.0137881592327,0.0148265503121,13,14,1,0.000374619068222,0.477496183722,0.685714285714,2,0
