sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,status,flags,error_class,error_message,runtime_ms
"T0000_S002_R000","T0000_S002",0,2,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",9360
"T0000_S003_R000","T0000_S003",0,3,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",9290
"T0000_S004_R000","T0000_S004",0,4,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",21091
"T0000_S005_R000","T0000_S005",0,5,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",20527
"T0000_S007_R000","T0000_S007",0,7,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",20973
"T0000_S008_R000","T0000_S008",0,8,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",23186
"T0000_S009_R000","T0000_S009",0,9,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",23552
"T0000_S010_R000","T0000_S010",0,10,0,-6455802252701332792,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",24253
"T0000_S014_R000","T0000_S014",0,14,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",27283
"T0000_S017_R000","T0000_S017",0,17,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",28592
"T0000_S019_R000","T0000_S019",0,19,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",29418
"T0000_S020_R000","T0000_S020",0,20,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",28921
"T0000_S021_R000","T0000_S021",0,21,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",29371
"T0000_S022_R000","T0000_S022",0,22,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",28199
"T0000_S023_R000","T0000_S023",0,23,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",27991
"T0000_S024_R000","T0000_S024",0,24,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",29034
"T0000_S025_R000","T0000_S025",0,25,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",30151
"T0000_S026_R000","T0000_S026",0,26,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",29637
"T0000_S028_R000","T0000_S028",0,28,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",30913
"T0000_S029_R000","T0000_S029",0,29,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",31828
"T0000_S030_R000","T0000_S030",0,30,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",33197
"T0000_S031_R000","T0000_S031",0,31,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",34006
"T0000_S032_R000","T0000_S032",0,32,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",32790
"T0000_S033_R000","T0000_S033",0,33,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",30040
"T0000_S036_R000","T0000_S036",0,36,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",32200
"T0000_S037_R000","T0000_S037",0,37,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",32643
"T0000_S039_R000","T0000_S039",0,39,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",33416
"T0000_S040_R000","T0000_S040",0,40,0,-6455802252701332792,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",33365
"T0001_S004_R000","T0001_S004",1,4,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4588
"T0001_S007_R000","T0001_S007",1,7,0,-918591818168106033,"INVALID","MACROPHAGE_POPULATION_ZERO;INVALID_DENOMINATOR","","",4026
"T0001_S008_R000","T0001_S008",1,8,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4622
"T0001_S010_R000","T0001_S010",1,10,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4051
"T0001_S011_R000","T0001_S011",1,11,0,-918591818168106033,"INVALID","MACROPHAGE_POPULATION_ZERO;INVALID_DENOMINATOR","","",3808
"T0001_S016_R000","T0001_S016",1,16,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1441
"T0001_S017_R000","T0001_S017",1,17,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2192
"T0001_S020_R000","T0001_S020",1,20,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3022
"T0001_S021_R000","T0001_S021",1,21,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3049
"T0001_S023_R000","T0001_S023",1,23,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2023
"T0001_S024_R000","T0001_S024",1,24,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3061
"T0001_S026_R000","T0001_S026",1,26,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4509
"T0001_S028_R000","T0001_S028",1,28,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5373
"T0001_S031_R000","T0001_S031",1,31,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6499
"T0001_S032_R000","T0001_S032",1,32,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5561
"T0001_S033_R000","T0001_S033",1,33,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6305
"T0001_S034_R000","T0001_S034",1,34,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6318
"T0001_S035_R000","T0001_S035",1,35,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6056
"T0001_S037_R000","T0001_S037",1,37,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6265
"T0001_S040_R000","T0001_S040",1,40,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6751
"T0001_S041_R000","T0001_S041",1,41,0,-918591818168106033,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",9361
"T0001_S042_R000","T0001_S042",1,42,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",9846
"T0001_S043_R000","T0001_S043",1,43,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",10361
"T0001_S044_R000","T0001_S044",1,44,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",9768
"T0001_S045_R000","T0001_S045",1,45,0,-918591818168106033,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",10255
